training:  19%|█▉        | 7744/40000 [01:49<07:29, 71.70it/s]
itr: 0 lr: 2.494e-07 train loss: 4.194277 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.81s)
itr: 250 lr: 6.259e-05 train loss: 3.993881 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.55s)
itr: 500 lr: 1.000e-04 train loss: 3.399937 train token_acc: 0.0834 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 750 lr: 9.998e-05 train loss: 2.848421 train token_acc: 0.1807 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1000 lr: 9.994e-05 train loss: 2.425320 train token_acc: 0.2689 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1250 lr: 9.989e-05 train loss: 2.125142 train token_acc: 0.3302 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1500 lr: 9.981e-05 train loss: 1.907974 train token_acc: 0.3416 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1750 lr: 9.972e-05 train loss: 1.749022 train token_acc: 0.3552 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2000 lr: 9.960e-05 train loss: 1.616314 train token_acc: 0.4079 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2250 lr: 9.947e-05 train loss: 1.504582 train token_acc: 0.4876 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2500 lr: 9.931e-05 train loss: 1.417272 train token_acc: 0.5566 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2750 lr: 9.914e-05 train loss: 1.354860 train token_acc: 0.6140 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3000 lr: 9.895e-05 train loss: 1.308022 train token_acc: 0.6612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3250 lr: 9.874e-05 train loss: 1.272822 train token_acc: 0.6762 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3500 lr: 9.851e-05 train loss: 1.243421 train token_acc: 0.7203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3750 lr: 9.826e-05 train loss: 1.220626 train token_acc: 0.7168 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4000 lr: 9.799e-05 train loss: 1.201906 train token_acc: 0.7271 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4250 lr: 9.771e-05 train loss: 1.184677 train token_acc: 0.7301 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4500 lr: 9.740e-05 train loss: 1.166308 train token_acc: 0.7384 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4750 lr: 9.708e-05 train loss: 1.149218 train token_acc: 0.7390 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5000 lr: 9.674e-05 train loss: 1.134703 train token_acc: 0.7481 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5250 lr: 9.638e-05 train loss: 1.123115 train token_acc: 0.7484 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5500 lr: 9.600e-05 train loss: 1.112196 train token_acc: 0.7438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5750 lr: 9.561e-05 train loss: 1.102030 train token_acc: 0.7414 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6000 lr: 9.519e-05 train loss: 1.093890 train token_acc: 0.7417 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6250 lr: 9.476e-05 train loss: 1.081053 train token_acc: 0.7455 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6500 lr: 9.432e-05 train loss: 1.076347 train token_acc: 0.7395 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6750 lr: 9.385e-05 train loss: 1.064512 train token_acc: 0.7406 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7000 lr: 9.337e-05 train loss: 1.059560 train token_acc: 0.7378 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7250 lr: 9.287e-05 train loss: 1.048662 train token_acc: 0.7431 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7500 lr: 9.235e-05 train loss: 1.042046 train token_acc: 0.7347 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7750 lr: 9.182e-05 train loss: 1.035777 train token_acc: 0.7403 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8000 lr: 9.127e-05 train loss: 1.028824 train token_acc: 0.7454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8250 lr: 9.071e-05 train loss: 1.023430 train token_acc: 0.7412 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8500 lr: 9.013e-05 train loss: 1.017695 train token_acc: 0.7427 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8750 lr: 8.953e-05 train loss: 1.011115 train token_acc: 0.7395 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9000 lr: 8.892e-05 train loss: 1.004278 train token_acc: 0.7441 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9250 lr: 8.829e-05 train loss: 1.000080 train token_acc: 0.7402 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9500 lr: 8.765e-05 train loss: 0.993739 train token_acc: 0.7423 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9750 lr: 8.700e-05 train loss: 0.984403 train token_acc: 0.7364 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 10000 lr: 8.632e-05 train loss: 0.981113 train token_acc: 0.7465 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 10250 lr: 8.564e-05 train loss: 0.975511 train token_acc: 0.7466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 10500 lr: 8.494e-05 train loss: 0.968941 train token_acc: 0.7437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 10750 lr: 8.423e-05 train loss: 0.964006 train token_acc: 0.7437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 11000 lr: 8.351e-05 train loss: 0.957881 train token_acc: 0.7417 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 11250 lr: 8.277e-05 train loss: 0.955138 train token_acc: 0.7448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 11500 lr: 8.202e-05 train loss: 0.945451 train token_acc: 0.7413 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 11750 lr: 8.125e-05 train loss: 0.942222 train token_acc: 0.7437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 12000 lr: 8.048e-05 train loss: 0.939466 train token_acc: 0.7410 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 12250 lr: 7.969e-05 train loss: 0.930990 train token_acc: 0.7443 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 12500 lr: 7.889e-05 train loss: 0.927068 train token_acc: 0.7419 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 12750 lr: 7.808e-05 train loss: 0.921380 train token_acc: 0.7412 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 13000 lr: 7.726e-05 train loss: 0.918174 train token_acc: 0.7430 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 13250 lr: 7.643e-05 train loss: 0.917963 train token_acc: 0.7429 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 13500 lr: 7.559e-05 train loss: 0.914018 train token_acc: 0.7454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 13750 lr: 7.474e-05 train loss: 0.907457 train token_acc: 0.7436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 14000 lr: 7.388e-05 train loss: 0.901990 train token_acc: 0.7427 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 14250 lr: 7.301e-05 train loss: 0.901114 train token_acc: 0.7418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 14500 lr: 7.213e-05 train loss: 0.899235 train token_acc: 0.7448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 14750 lr: 7.124e-05 train loss: 0.891210 train token_acc: 0.7454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 15000 lr: 7.035e-05 train loss: 0.891112 train token_acc: 0.7415 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 15250 lr: 6.944e-05 train loss: 0.887089 train token_acc: 0.7460 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 15500 lr: 6.853e-05 train loss: 0.882049 train token_acc: 0.7423 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 15750 lr: 6.761e-05 train loss: 0.878842 train token_acc: 0.7478 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 16000 lr: 6.669e-05 train loss: 0.875924 train token_acc: 0.7448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 16250 lr: 6.576e-05 train loss: 0.872717 train token_acc: 0.7473 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 16500 lr: 6.482e-05 train loss: 0.871766 train token_acc: 0.7483 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 16750 lr: 6.388e-05 train loss: 0.869481 train token_acc: 0.7479 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 17000 lr: 6.293e-05 train loss: 0.864866 train token_acc: 0.7497 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 17250 lr: 6.198e-05 train loss: 0.860361 train token_acc: 0.7515 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 17500 lr: 6.102e-05 train loss: 0.860137 train token_acc: 0.7473 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 17750 lr: 6.006e-05 train loss: 0.854521 train token_acc: 0.7527 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 18000 lr: 5.910e-05 train loss: 0.851991 train token_acc: 0.7520 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 18250 lr: 5.813e-05 train loss: 0.844824 train token_acc: 0.7544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 18500 lr: 5.716e-05 train loss: 0.849956 train token_acc: 0.7535 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 18750 lr: 5.618e-05 train loss: 0.843355 train token_acc: 0.7532 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 19000 lr: 5.521e-05 train loss: 0.841946 train token_acc: 0.7533 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 19250 lr: 5.423e-05 train loss: 0.842918 train token_acc: 0.7556 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 19500 lr: 5.325e-05 train loss: 0.837549 train token_acc: 0.7551 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 19750 lr: 5.227e-05 train loss: 0.835322 train token_acc: 0.7568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 20000 lr: 5.129e-05 train loss: 0.828690 train token_acc: 0.7607 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k32/task_0004/saved_models/Checkpoint_N64_d32_H1_L1_npos1_mlp0_ln1_normlayernorm_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.826569 train token_acc: 0.7595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.50s)
itr: 20500 lr: 4.932e-05 train loss: 0.830964 train token_acc: 0.7582 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 20750 lr: 4.834e-05 train loss: 0.824794 train token_acc: 0.7624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 21000 lr: 4.736e-05 train loss: 0.822077 train token_acc: 0.7652 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 21250 lr: 4.638e-05 train loss: 0.816967 train token_acc: 0.7643 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 21500 lr: 4.540e-05 train loss: 0.818595 train token_acc: 0.7641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 21750 lr: 4.443e-05 train loss: 0.817156 train token_acc: 0.7626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 22000 lr: 4.346e-05 train loss: 0.813911 train token_acc: 0.7635 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 22250 lr: 4.249e-05 train loss: 0.809677 train token_acc: 0.7665 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 22500 lr: 4.152e-05 train loss: 0.810001 train token_acc: 0.7653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 22750 lr: 4.055e-05 train loss: 0.806310 train token_acc: 0.7663 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 23000 lr: 3.959e-05 train loss: 0.804974 train token_acc: 0.7648 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 23250 lr: 3.864e-05 train loss: 0.801238 train token_acc: 0.7666 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 23500 lr: 3.769e-05 train loss: 0.802654 train token_acc: 0.7665 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 23750 lr: 3.674e-05 train loss: 0.801874 train token_acc: 0.7673 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 24000 lr: 3.580e-05 train loss: 0.798110 train token_acc: 0.7683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 24250 lr: 3.487e-05 train loss: 0.798517 train token_acc: 0.7693 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 24500 lr: 3.394e-05 train loss: 0.796111 train token_acc: 0.7736 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 24750 lr: 3.302e-05 train loss: 0.793363 train token_acc: 0.7706 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 25000 lr: 3.210e-05 train loss: 0.792495 train token_acc: 0.7740 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
