training:  19%|█▉        | 7744/40000 [01:48<07:30, 71.52it/s]
itr: 0 lr: 2.494e-07 train loss: 4.843523 train token_acc: 0.0041 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.470501 train token_acc: 0.0092 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.53s)
itr: 500 lr: 1.000e-04 train loss: 3.713552 train token_acc: 0.0679 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 750 lr: 9.998e-05 train loss: 3.018099 train token_acc: 0.2004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1000 lr: 9.994e-05 train loss: 2.525874 train token_acc: 0.2977 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1250 lr: 9.989e-05 train loss: 2.141408 train token_acc: 0.3864 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1500 lr: 9.981e-05 train loss: 1.850346 train token_acc: 0.4334 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 1750 lr: 9.972e-05 train loss: 1.637382 train token_acc: 0.4801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2000 lr: 9.960e-05 train loss: 1.462012 train token_acc: 0.5368 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2250 lr: 9.947e-05 train loss: 1.318657 train token_acc: 0.5653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2500 lr: 9.931e-05 train loss: 1.181193 train token_acc: 0.6082 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 2750 lr: 9.914e-05 train loss: 1.065912 train token_acc: 0.6332 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3000 lr: 9.895e-05 train loss: 0.954552 train token_acc: 0.6754 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3250 lr: 9.874e-05 train loss: 0.844826 train token_acc: 0.7048 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3500 lr: 9.851e-05 train loss: 0.754232 train token_acc: 0.7309 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 3750 lr: 9.826e-05 train loss: 0.664715 train token_acc: 0.7625 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4000 lr: 9.799e-05 train loss: 0.592996 train token_acc: 0.7853 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4250 lr: 9.771e-05 train loss: 0.546674 train token_acc: 0.7906 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4500 lr: 9.740e-05 train loss: 0.505809 train token_acc: 0.7987 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 4750 lr: 9.708e-05 train loss: 0.481726 train token_acc: 0.8008 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5000 lr: 9.674e-05 train loss: 0.455793 train token_acc: 0.8077 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5250 lr: 9.638e-05 train loss: 0.437717 train token_acc: 0.8124 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5500 lr: 9.600e-05 train loss: 0.417021 train token_acc: 0.8177 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 5750 lr: 9.561e-05 train loss: 0.390497 train token_acc: 0.8250 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6000 lr: 9.519e-05 train loss: 0.371409 train token_acc: 0.8308 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6250 lr: 9.476e-05 train loss: 0.359788 train token_acc: 0.8331 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6500 lr: 9.432e-05 train loss: 0.352722 train token_acc: 0.8322 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 6750 lr: 9.385e-05 train loss: 0.333546 train token_acc: 0.8388 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7000 lr: 9.337e-05 train loss: 0.309881 train token_acc: 0.8451 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7250 lr: 9.287e-05 train loss: 0.292730 train token_acc: 0.8562 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7500 lr: 9.235e-05 train loss: 0.283006 train token_acc: 0.8568 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.49s)
itr: 7750 lr: 9.182e-05 train loss: 0.268363 train token_acc: 0.8636 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8000 lr: 9.127e-05 train loss: 0.265094 train token_acc: 0.8642 train exact_match_acc: 0.0010 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8250 lr: 9.071e-05 train loss: 0.261738 train token_acc: 0.8645 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8500 lr: 9.013e-05 train loss: 0.258836 train token_acc: 0.8653 train exact_match_acc: 0.0010 (K~32.00, min=32, max=32, dt=3.49s)
itr: 8750 lr: 8.953e-05 train loss: 0.257208 train token_acc: 0.8660 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9000 lr: 8.892e-05 train loss: 0.250895 train token_acc: 0.8720 train exact_match_acc: 0.0015 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9250 lr: 8.829e-05 train loss: 0.235309 train token_acc: 0.8809 train exact_match_acc: 0.0032 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9500 lr: 8.765e-05 train loss: 0.219774 train token_acc: 0.8882 train exact_match_acc: 0.0034 (K~32.00, min=32, max=32, dt=3.49s)
itr: 9750 lr: 8.700e-05 train loss: 0.211960 train token_acc: 0.8917 train exact_match_acc: 0.0044 (K~32.00, min=32, max=32, dt=3.49s)
