training:  19%|█▉        | 7741/40000 [01:09<04:45, 113.14it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184643 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.18s)
itr: 250 lr: 6.259e-05 train loss: 4.165788 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.27s)
itr: 500 lr: 1.000e-04 train loss: 4.141755 train token_acc: 0.0344 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 750 lr: 9.998e-05 train loss: 4.076737 train token_acc: 0.1085 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1000 lr: 9.994e-05 train loss: 3.972785 train token_acc: 0.1243 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1250 lr: 9.989e-05 train loss: 3.804799 train token_acc: 0.1366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1500 lr: 9.981e-05 train loss: 3.506046 train token_acc: 0.1447 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1750 lr: 9.972e-05 train loss: 3.045459 train token_acc: 0.1345 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2000 lr: 9.960e-05 train loss: 2.647621 train token_acc: 0.1564 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2250 lr: 9.947e-05 train loss: 2.363575 train token_acc: 0.2043 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2500 lr: 9.931e-05 train loss: 2.151601 train token_acc: 0.2429 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2750 lr: 9.914e-05 train loss: 1.995819 train token_acc: 0.2850 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3000 lr: 9.895e-05 train loss: 1.900375 train token_acc: 0.3033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3250 lr: 9.874e-05 train loss: 1.841746 train token_acc: 0.3088 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3500 lr: 9.851e-05 train loss: 1.809387 train token_acc: 0.3256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3750 lr: 9.826e-05 train loss: 1.792763 train token_acc: 0.3347 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4000 lr: 9.799e-05 train loss: 1.776866 train token_acc: 0.3419 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4250 lr: 9.771e-05 train loss: 1.764294 train token_acc: 0.3463 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4500 lr: 9.740e-05 train loss: 1.754141 train token_acc: 0.3510 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4750 lr: 9.708e-05 train loss: 1.739000 train token_acc: 0.3573 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5000 lr: 9.674e-05 train loss: 1.732335 train token_acc: 0.3650 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5250 lr: 9.638e-05 train loss: 1.720360 train token_acc: 0.3711 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
