training:  19%|█▉        | 7742/40000 [01:08<04:44, 113.36it/s]
itr: 0 lr: 2.494e-07 train loss: 4.183329 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.167248 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.23s)
itr: 500 lr: 1.000e-04 train loss: 4.141545 train token_acc: 0.0590 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 750 lr: 9.998e-05 train loss: 4.080729 train token_acc: 0.0644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1000 lr: 9.994e-05 train loss: 3.975952 train token_acc: 0.0891 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1250 lr: 9.989e-05 train loss: 3.790526 train token_acc: 0.1222 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1500 lr: 9.981e-05 train loss: 3.441579 train token_acc: 0.0817 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1750 lr: 9.972e-05 train loss: 3.121462 train token_acc: 0.1086 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2000 lr: 9.960e-05 train loss: 2.906288 train token_acc: 0.1441 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2250 lr: 9.947e-05 train loss: 2.680499 train token_acc: 0.1801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2500 lr: 9.931e-05 train loss: 2.408472 train token_acc: 0.2099 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2750 lr: 9.914e-05 train loss: 2.174715 train token_acc: 0.2626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3000 lr: 9.895e-05 train loss: 2.006845 train token_acc: 0.2891 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3250 lr: 9.874e-05 train loss: 1.911401 train token_acc: 0.3001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3500 lr: 9.851e-05 train loss: 1.850333 train token_acc: 0.3118 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3750 lr: 9.826e-05 train loss: 1.821003 train token_acc: 0.3293 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4000 lr: 9.799e-05 train loss: 1.793445 train token_acc: 0.3395 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4250 lr: 9.771e-05 train loss: 1.773379 train token_acc: 0.3479 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4500 lr: 9.740e-05 train loss: 1.753677 train token_acc: 0.3547 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4750 lr: 9.708e-05 train loss: 1.736791 train token_acc: 0.3637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5000 lr: 9.674e-05 train loss: 1.726361 train token_acc: 0.3668 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5250 lr: 9.638e-05 train loss: 1.718148 train token_acc: 0.3722 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5500 lr: 9.600e-05 train loss: 1.705901 train token_acc: 0.3775 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
