training:  19%|█▉        | 7742/40000 [01:08<04:44, 113.23it/s]
itr: 0 lr: 2.494e-07 train loss: 4.194534 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.168715 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.23s)
itr: 500 lr: 1.000e-04 train loss: 4.091001 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 750 lr: 9.998e-05 train loss: 3.981751 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1000 lr: 9.994e-05 train loss: 3.836835 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1250 lr: 9.989e-05 train loss: 3.629425 train token_acc: 0.0016 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1500 lr: 9.981e-05 train loss: 3.318006 train token_acc: 0.0135 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1750 lr: 9.972e-05 train loss: 2.922539 train token_acc: 0.0514 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2000 lr: 9.960e-05 train loss: 2.586154 train token_acc: 0.0808 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2250 lr: 9.947e-05 train loss: 2.308626 train token_acc: 0.1122 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2500 lr: 9.931e-05 train loss: 2.094362 train token_acc: 0.1816 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2750 lr: 9.914e-05 train loss: 1.925478 train token_acc: 0.2668 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3000 lr: 9.895e-05 train loss: 1.815296 train token_acc: 0.3123 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3250 lr: 9.874e-05 train loss: 1.742532 train token_acc: 0.3323 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3500 lr: 9.851e-05 train loss: 1.693758 train token_acc: 0.3512 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3750 lr: 9.826e-05 train loss: 1.652078 train token_acc: 0.3727 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4000 lr: 9.799e-05 train loss: 1.613459 train token_acc: 0.3927 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4250 lr: 9.771e-05 train loss: 1.572440 train token_acc: 0.4139 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4500 lr: 9.740e-05 train loss: 1.533782 train token_acc: 0.4275 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4750 lr: 9.708e-05 train loss: 1.500890 train token_acc: 0.4384 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5000 lr: 9.674e-05 train loss: 1.465809 train token_acc: 0.4558 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5250 lr: 9.638e-05 train loss: 1.437594 train token_acc: 0.4723 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5500 lr: 9.600e-05 train loss: 1.403072 train token_acc: 0.4852 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 5750 lr: 9.561e-05 train loss: 1.367739 train token_acc: 0.4991 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6000 lr: 9.519e-05 train loss: 1.332826 train token_acc: 0.5130 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6250 lr: 9.476e-05 train loss: 1.299126 train token_acc: 0.5266 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6500 lr: 9.432e-05 train loss: 1.276832 train token_acc: 0.5349 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 6750 lr: 9.385e-05 train loss: 1.244696 train token_acc: 0.5468 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7000 lr: 9.337e-05 train loss: 1.220261 train token_acc: 0.5588 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7250 lr: 9.287e-05 train loss: 1.193508 train token_acc: 0.5641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7500 lr: 9.235e-05 train loss: 1.162452 train token_acc: 0.5801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 7750 lr: 9.182e-05 train loss: 1.134035 train token_acc: 0.5965 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8000 lr: 9.127e-05 train loss: 1.102439 train token_acc: 0.6132 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8250 lr: 9.071e-05 train loss: 1.079638 train token_acc: 0.6186 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8500 lr: 9.013e-05 train loss: 1.056963 train token_acc: 0.6246 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 8750 lr: 8.953e-05 train loss: 1.039839 train token_acc: 0.6298 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9000 lr: 8.892e-05 train loss: 1.029130 train token_acc: 0.6387 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9250 lr: 8.829e-05 train loss: 1.016773 train token_acc: 0.6440 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9500 lr: 8.765e-05 train loss: 1.000378 train token_acc: 0.6455 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 9750 lr: 8.700e-05 train loss: 0.989354 train token_acc: 0.6504 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 10000 lr: 8.632e-05 train loss: 0.979097 train token_acc: 0.6559 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
