training:  19%|█▉        | 7741/40000 [01:08<04:45, 113.04it/s]
itr: 0 lr: 2.494e-07 train loss: 4.188606 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.163703 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.23s)
itr: 500 lr: 1.000e-04 train loss: 4.084589 train token_acc: 0.0060 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 750 lr: 9.998e-05 train loss: 3.973506 train token_acc: 0.0157 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1000 lr: 9.994e-05 train loss: 3.811903 train token_acc: 0.0169 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1250 lr: 9.989e-05 train loss: 3.545968 train token_acc: 0.0264 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1500 lr: 9.981e-05 train loss: 3.174017 train token_acc: 0.0514 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 1750 lr: 9.972e-05 train loss: 2.837492 train token_acc: 0.0735 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2000 lr: 9.960e-05 train loss: 2.535415 train token_acc: 0.0949 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2250 lr: 9.947e-05 train loss: 2.273258 train token_acc: 0.1187 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 2500 lr: 9.931e-05 train loss: 2.066379 train token_acc: 0.1722 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 2750 lr: 9.914e-05 train loss: 1.928728 train token_acc: 0.2364 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3000 lr: 9.895e-05 train loss: 1.833436 train token_acc: 0.3000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3250 lr: 9.874e-05 train loss: 1.783697 train token_acc: 0.3396 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3500 lr: 9.851e-05 train loss: 1.736729 train token_acc: 0.3578 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 3750 lr: 9.826e-05 train loss: 1.709052 train token_acc: 0.3719 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
itr: 4000 lr: 9.799e-05 train loss: 1.679966 train token_acc: 0.3802 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.21s)
