training:  19%|█▉        | 7741/40000 [01:08<04:46, 112.78it/s]
itr: 0 lr: 2.494e-07 train loss: 4.199601 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.174308 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.26s)
itr: 500 lr: 1.000e-04 train loss: 4.095510 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 750 lr: 9.998e-05 train loss: 3.984977 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 1000 lr: 9.994e-05 train loss: 3.833898 train token_acc: 0.0136 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 1250 lr: 9.989e-05 train loss: 3.591658 train token_acc: 0.0260 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 1500 lr: 9.981e-05 train loss: 3.244807 train token_acc: 0.0777 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 1750 lr: 9.972e-05 train loss: 2.926929 train token_acc: 0.0465 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 2000 lr: 9.960e-05 train loss: 2.623332 train token_acc: 0.0608 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 2250 lr: 9.947e-05 train loss: 2.340237 train token_acc: 0.0966 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 2500 lr: 9.931e-05 train loss: 2.115167 train token_acc: 0.1667 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 2750 lr: 9.914e-05 train loss: 1.954430 train token_acc: 0.2368 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 3000 lr: 9.895e-05 train loss: 1.856301 train token_acc: 0.2992 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 3250 lr: 9.874e-05 train loss: 1.788715 train token_acc: 0.3299 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 3500 lr: 9.851e-05 train loss: 1.740671 train token_acc: 0.3529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 3750 lr: 9.826e-05 train loss: 1.704483 train token_acc: 0.3655 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 4000 lr: 9.799e-05 train loss: 1.661253 train token_acc: 0.3801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 4250 lr: 9.771e-05 train loss: 1.623254 train token_acc: 0.3933 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 4500 lr: 9.740e-05 train loss: 1.588769 train token_acc: 0.4072 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 4750 lr: 9.708e-05 train loss: 1.554065 train token_acc: 0.4258 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 5000 lr: 9.674e-05 train loss: 1.524845 train token_acc: 0.4390 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 5250 lr: 9.638e-05 train loss: 1.491577 train token_acc: 0.4552 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 5500 lr: 9.600e-05 train loss: 1.458586 train token_acc: 0.4705 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 5750 lr: 9.561e-05 train loss: 1.429532 train token_acc: 0.4832 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 6000 lr: 9.519e-05 train loss: 1.404272 train token_acc: 0.4948 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 6250 lr: 9.476e-05 train loss: 1.371759 train token_acc: 0.5032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 6500 lr: 9.432e-05 train loss: 1.353763 train token_acc: 0.5039 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 6750 lr: 9.385e-05 train loss: 1.333112 train token_acc: 0.5142 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 7000 lr: 9.337e-05 train loss: 1.309559 train token_acc: 0.5218 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 7250 lr: 9.287e-05 train loss: 1.287984 train token_acc: 0.5265 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 7500 lr: 9.235e-05 train loss: 1.271489 train token_acc: 0.5357 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 7750 lr: 9.182e-05 train loss: 1.247688 train token_acc: 0.5432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 8000 lr: 9.127e-05 train loss: 1.228185 train token_acc: 0.5531 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 8250 lr: 9.071e-05 train loss: 1.212165 train token_acc: 0.5641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 8500 lr: 9.013e-05 train loss: 1.189257 train token_acc: 0.5708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 8750 lr: 8.953e-05 train loss: 1.174066 train token_acc: 0.5765 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 9000 lr: 8.892e-05 train loss: 1.162248 train token_acc: 0.5788 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 9250 lr: 8.829e-05 train loss: 1.148674 train token_acc: 0.5862 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 9500 lr: 8.765e-05 train loss: 1.134068 train token_acc: 0.5903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 9750 lr: 8.700e-05 train loss: 1.117852 train token_acc: 0.5919 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 10000 lr: 8.632e-05 train loss: 1.110498 train token_acc: 0.5985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 10250 lr: 8.564e-05 train loss: 1.096997 train token_acc: 0.6035 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 10500 lr: 8.494e-05 train loss: 1.088483 train token_acc: 0.6082 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 10750 lr: 8.423e-05 train loss: 1.075315 train token_acc: 0.6125 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 11000 lr: 8.351e-05 train loss: 1.066064 train token_acc: 0.6137 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 11250 lr: 8.277e-05 train loss: 1.053987 train token_acc: 0.6203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 11500 lr: 8.202e-05 train loss: 1.041640 train token_acc: 0.6218 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
itr: 11750 lr: 8.125e-05 train loss: 1.025118 train token_acc: 0.6321 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.22s)
