training:  19%|█▉        | 7750/40000 [01:24<05:50, 91.92it/s]
itr: 0 lr: 2.494e-07 train loss: 4.220826 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 3.833030 train token_acc: 0.0024 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.78s)
itr: 500 lr: 1.000e-04 train loss: 2.915196 train token_acc: 0.1538 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.73s)
itr: 750 lr: 9.998e-05 train loss: 2.297558 train token_acc: 0.3144 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.73s)
itr: 1000 lr: 9.994e-05 train loss: 1.844408 train token_acc: 0.5193 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1250 lr: 9.989e-05 train loss: 1.453241 train token_acc: 0.6952 train exact_match_acc: 0.0034 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1500 lr: 9.981e-05 train loss: 1.083307 train token_acc: 0.7893 train exact_match_acc: 0.0381 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1750 lr: 9.972e-05 train loss: 0.764571 train token_acc: 0.8579 train exact_match_acc: 0.1047 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2000 lr: 9.960e-05 train loss: 0.536769 train token_acc: 0.8997 train exact_match_acc: 0.2129 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2250 lr: 9.947e-05 train loss: 0.375206 train token_acc: 0.9366 train exact_match_acc: 0.3801 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2500 lr: 9.931e-05 train loss: 0.268340 train token_acc: 0.9590 train exact_match_acc: 0.5239 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2750 lr: 9.914e-05 train loss: 0.203610 train token_acc: 0.9717 train exact_match_acc: 0.6252 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3000 lr: 9.895e-05 train loss: 0.158864 train token_acc: 0.9794 train exact_match_acc: 0.7156 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3250 lr: 9.874e-05 train loss: 0.129071 train token_acc: 0.9839 train exact_match_acc: 0.7603 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3500 lr: 9.851e-05 train loss: 0.106196 train token_acc: 0.9875 train exact_match_acc: 0.8127 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3750 lr: 9.826e-05 train loss: 0.086983 train token_acc: 0.9893 train exact_match_acc: 0.8367 (K~16.00, min=16, max=16, dt=2.72s)
itr: 4000 lr: 9.799e-05 train loss: 0.075903 train token_acc: 0.9901 train exact_match_acc: 0.8457 (K~16.00, min=16, max=16, dt=2.72s)
itr: 4250 lr: 9.771e-05 train loss: 0.061233 train token_acc: 0.9923 train exact_match_acc: 0.8792 (K~16.00, min=16, max=16, dt=2.72s)
itr: 4500 lr: 9.740e-05 train loss: 0.054612 train token_acc: 0.9926 train exact_match_acc: 0.8843 (K~16.00, min=16, max=16, dt=2.72s)
itr: 4750 lr: 9.708e-05 train loss: 0.045497 train token_acc: 0.9943 train exact_match_acc: 0.9102 (K~16.00, min=16, max=16, dt=2.72s)
itr: 5000 lr: 9.674e-05 train loss: 0.040503 train token_acc: 0.9945 train exact_match_acc: 0.9126 (K~16.00, min=16, max=16, dt=2.72s)
itr: 5250 lr: 9.638e-05 train loss: 0.034749 train token_acc: 0.9953 train exact_match_acc: 0.9246 (K~16.00, min=16, max=16, dt=2.72s)
