training:  19%|█▉        | 7750/40000 [01:24<05:50, 92.08it/s]
itr: 0 lr: 2.494e-07 train loss: 4.225584 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.34s)
itr: 250 lr: 6.259e-05 train loss: 3.857946 train token_acc: 0.0171 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.74s)
itr: 500 lr: 1.000e-04 train loss: 2.916001 train token_acc: 0.1461 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.73s)
itr: 750 lr: 9.998e-05 train loss: 2.258118 train token_acc: 0.3866 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1000 lr: 9.994e-05 train loss: 1.707265 train token_acc: 0.6102 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1250 lr: 9.989e-05 train loss: 1.215247 train token_acc: 0.7163 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1500 lr: 9.981e-05 train loss: 0.775725 train token_acc: 0.8353 train exact_match_acc: 0.0273 (K~16.00, min=16, max=16, dt=2.72s)
itr: 1750 lr: 9.972e-05 train loss: 0.441663 train token_acc: 0.9057 train exact_match_acc: 0.1006 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2000 lr: 9.960e-05 train loss: 0.258595 train token_acc: 0.9396 train exact_match_acc: 0.2034 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2250 lr: 9.947e-05 train loss: 0.169830 train token_acc: 0.9577 train exact_match_acc: 0.3689 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2500 lr: 9.931e-05 train loss: 0.134548 train token_acc: 0.9652 train exact_match_acc: 0.4670 (K~16.00, min=16, max=16, dt=2.72s)
itr: 2750 lr: 9.914e-05 train loss: 0.111693 train token_acc: 0.9714 train exact_match_acc: 0.5552 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3000 lr: 9.895e-05 train loss: 0.097838 train token_acc: 0.9737 train exact_match_acc: 0.5850 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3250 lr: 9.874e-05 train loss: 0.084542 train token_acc: 0.9764 train exact_match_acc: 0.6272 (K~16.00, min=16, max=16, dt=2.72s)
itr: 3500 lr: 9.851e-05 train loss: 0.080407 train token_acc: 0.9763 train exact_match_acc: 0.6248 (K~16.00, min=16, max=16, dt=2.72s)
