training:  19%|█▉        | 7736/40000 [00:53<03:42, 144.81it/s]
itr: 0 lr: 2.494e-07 train loss: 4.181852 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.163909 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.77s)
itr: 500 lr: 1.000e-04 train loss: 4.109562 train token_acc: 0.0576 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 750 lr: 9.998e-05 train loss: 3.888050 train token_acc: 0.0460 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1000 lr: 9.994e-05 train loss: 3.389433 train token_acc: 0.0662 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1250 lr: 9.989e-05 train loss: 2.763458 train token_acc: 0.1091 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1500 lr: 9.981e-05 train loss: 2.508953 train token_acc: 0.1456 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1750 lr: 9.972e-05 train loss: 2.447095 train token_acc: 0.1530 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2000 lr: 9.960e-05 train loss: 2.419718 train token_acc: 0.1636 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2250 lr: 9.947e-05 train loss: 2.387463 train token_acc: 0.1689 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2500 lr: 9.931e-05 train loss: 2.358948 train token_acc: 0.1755 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2750 lr: 9.914e-05 train loss: 2.335789 train token_acc: 0.1806 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3000 lr: 9.895e-05 train loss: 2.301926 train token_acc: 0.1858 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3250 lr: 9.874e-05 train loss: 2.272773 train token_acc: 0.1916 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3500 lr: 9.851e-05 train loss: 2.239579 train token_acc: 0.2004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3750 lr: 9.826e-05 train loss: 2.200252 train token_acc: 0.2100 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4000 lr: 9.799e-05 train loss: 2.163019 train token_acc: 0.2273 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4250 lr: 9.771e-05 train loss: 2.124650 train token_acc: 0.2347 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4500 lr: 9.740e-05 train loss: 2.094735 train token_acc: 0.2474 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4750 lr: 9.708e-05 train loss: 2.066037 train token_acc: 0.2522 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5000 lr: 9.674e-05 train loss: 2.041617 train token_acc: 0.2574 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5250 lr: 9.638e-05 train loss: 2.022688 train token_acc: 0.2692 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5500 lr: 9.600e-05 train loss: 1.998103 train token_acc: 0.2770 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5750 lr: 9.561e-05 train loss: 1.979893 train token_acc: 0.2793 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6000 lr: 9.519e-05 train loss: 1.956022 train token_acc: 0.2890 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6250 lr: 9.476e-05 train loss: 1.940623 train token_acc: 0.2850 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6500 lr: 9.432e-05 train loss: 1.920744 train token_acc: 0.2970 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6750 lr: 9.385e-05 train loss: 1.894340 train token_acc: 0.3092 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7000 lr: 9.337e-05 train loss: 1.874041 train token_acc: 0.3138 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7250 lr: 9.287e-05 train loss: 1.854546 train token_acc: 0.3192 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7500 lr: 9.235e-05 train loss: 1.846563 train token_acc: 0.3306 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7750 lr: 9.182e-05 train loss: 1.821232 train token_acc: 0.3323 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8000 lr: 9.127e-05 train loss: 1.802832 train token_acc: 0.3376 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8250 lr: 9.071e-05 train loss: 1.781792 train token_acc: 0.3375 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8500 lr: 9.013e-05 train loss: 1.769534 train token_acc: 0.3470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8750 lr: 8.953e-05 train loss: 1.756291 train token_acc: 0.3485 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9000 lr: 8.892e-05 train loss: 1.750718 train token_acc: 0.3371 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9250 lr: 8.829e-05 train loss: 1.730058 train token_acc: 0.3475 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9500 lr: 8.765e-05 train loss: 1.722912 train token_acc: 0.3614 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9750 lr: 8.700e-05 train loss: 1.699545 train token_acc: 0.3630 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10000 lr: 8.632e-05 train loss: 1.693061 train token_acc: 0.3588 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10250 lr: 8.564e-05 train loss: 1.674090 train token_acc: 0.3670 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10500 lr: 8.494e-05 train loss: 1.654747 train token_acc: 0.3808 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10750 lr: 8.423e-05 train loss: 1.654729 train token_acc: 0.3871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11000 lr: 8.351e-05 train loss: 1.632635 train token_acc: 0.3804 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11250 lr: 8.277e-05 train loss: 1.618974 train token_acc: 0.3874 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11500 lr: 8.202e-05 train loss: 1.608108 train token_acc: 0.3980 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11750 lr: 8.125e-05 train loss: 1.595776 train token_acc: 0.3959 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 12000 lr: 8.048e-05 train loss: 1.593050 train token_acc: 0.3882 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 12250 lr: 7.969e-05 train loss: 1.572634 train token_acc: 0.4064 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
