training:  19%|█▉        | 7740/40000 [00:54<03:43, 144.41it/s]
itr: 0 lr: 2.494e-07 train loss: 4.207896 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.39s)
itr: 250 lr: 6.259e-05 train loss: 4.168272 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.77s)
itr: 500 lr: 1.000e-04 train loss: 4.022656 train token_acc: 0.0056 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 750 lr: 9.998e-05 train loss: 3.707139 train token_acc: 0.0141 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1000 lr: 9.994e-05 train loss: 3.056188 train token_acc: 0.0503 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1250 lr: 9.989e-05 train loss: 2.626509 train token_acc: 0.1201 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1500 lr: 9.981e-05 train loss: 2.249839 train token_acc: 0.2280 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1750 lr: 9.972e-05 train loss: 1.864044 train token_acc: 0.3617 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2000 lr: 9.960e-05 train loss: 1.503272 train token_acc: 0.4870 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2250 lr: 9.947e-05 train loss: 1.198697 train token_acc: 0.5920 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2500 lr: 9.931e-05 train loss: 1.001662 train token_acc: 0.6618 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2750 lr: 9.914e-05 train loss: 0.864076 train token_acc: 0.7116 train exact_match_acc: 0.0042 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3000 lr: 9.895e-05 train loss: 0.751867 train token_acc: 0.7527 train exact_match_acc: 0.0100 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3250 lr: 9.874e-05 train loss: 0.653071 train token_acc: 0.7875 train exact_match_acc: 0.0254 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3500 lr: 9.851e-05 train loss: 0.576791 train token_acc: 0.8143 train exact_match_acc: 0.0454 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3750 lr: 9.826e-05 train loss: 0.523315 train token_acc: 0.8345 train exact_match_acc: 0.0679 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4000 lr: 9.799e-05 train loss: 0.472442 train token_acc: 0.8519 train exact_match_acc: 0.0942 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4250 lr: 9.771e-05 train loss: 0.425753 train token_acc: 0.8690 train exact_match_acc: 0.1250 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4500 lr: 9.740e-05 train loss: 0.380533 train token_acc: 0.8829 train exact_match_acc: 0.1643 (K~16.00, min=16, max=16, dt=1.73s)
