training:  19%|█▉        | 7736/40000 [00:53<03:42, 144.69it/s]
itr: 0 lr: 2.494e-07 train loss: 4.181545 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.41s)
itr: 250 lr: 6.259e-05 train loss: 4.166372 train token_acc: 0.0003 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.76s)
itr: 500 lr: 1.000e-04 train loss: 4.111654 train token_acc: 0.0548 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 750 lr: 9.998e-05 train loss: 3.931563 train token_acc: 0.0497 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1000 lr: 9.994e-05 train loss: 3.427129 train token_acc: 0.0673 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1250 lr: 9.989e-05 train loss: 2.826332 train token_acc: 0.1120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1500 lr: 9.981e-05 train loss: 2.499371 train token_acc: 0.1456 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1750 lr: 9.972e-05 train loss: 2.429852 train token_acc: 0.1575 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2000 lr: 9.960e-05 train loss: 2.378781 train token_acc: 0.1673 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2250 lr: 9.947e-05 train loss: 2.339068 train token_acc: 0.1771 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2500 lr: 9.931e-05 train loss: 2.307489 train token_acc: 0.1827 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2750 lr: 9.914e-05 train loss: 2.260095 train token_acc: 0.1943 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3000 lr: 9.895e-05 train loss: 2.213397 train token_acc: 0.2050 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3250 lr: 9.874e-05 train loss: 2.160998 train token_acc: 0.2181 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3500 lr: 9.851e-05 train loss: 2.114437 train token_acc: 0.2271 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3750 lr: 9.826e-05 train loss: 2.082855 train token_acc: 0.2386 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4000 lr: 9.799e-05 train loss: 2.042767 train token_acc: 0.2532 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4250 lr: 9.771e-05 train loss: 2.012236 train token_acc: 0.2583 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4500 lr: 9.740e-05 train loss: 1.980151 train token_acc: 0.2700 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4750 lr: 9.708e-05 train loss: 1.954523 train token_acc: 0.2824 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5000 lr: 9.674e-05 train loss: 1.925609 train token_acc: 0.2907 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5250 lr: 9.638e-05 train loss: 1.901605 train token_acc: 0.2993 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5500 lr: 9.600e-05 train loss: 1.880905 train token_acc: 0.3013 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5750 lr: 9.561e-05 train loss: 1.863457 train token_acc: 0.3031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6000 lr: 9.519e-05 train loss: 1.841395 train token_acc: 0.3117 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6250 lr: 9.476e-05 train loss: 1.821605 train token_acc: 0.3140 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6500 lr: 9.432e-05 train loss: 1.806665 train token_acc: 0.3168 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6750 lr: 9.385e-05 train loss: 1.789998 train token_acc: 0.3254 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7000 lr: 9.337e-05 train loss: 1.779425 train token_acc: 0.3239 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7250 lr: 9.287e-05 train loss: 1.762922 train token_acc: 0.3354 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7500 lr: 9.235e-05 train loss: 1.739878 train token_acc: 0.3376 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7750 lr: 9.182e-05 train loss: 1.720249 train token_acc: 0.3412 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8000 lr: 9.127e-05 train loss: 1.720401 train token_acc: 0.3517 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8250 lr: 9.071e-05 train loss: 1.697634 train token_acc: 0.3502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8500 lr: 9.013e-05 train loss: 1.677785 train token_acc: 0.3603 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8750 lr: 8.953e-05 train loss: 1.665567 train token_acc: 0.3640 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9000 lr: 8.892e-05 train loss: 1.645860 train token_acc: 0.3683 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9250 lr: 8.829e-05 train loss: 1.635988 train token_acc: 0.3751 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9500 lr: 8.765e-05 train loss: 1.618178 train token_acc: 0.3801 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9750 lr: 8.700e-05 train loss: 1.605455 train token_acc: 0.3847 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10000 lr: 8.632e-05 train loss: 1.587489 train token_acc: 0.3930 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
