training:  19%|█▉        | 7750/40000 [00:54<03:43, 144.33it/s]
itr: 0 lr: 2.494e-07 train loss: 4.211257 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.172055 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.75s)
itr: 500 lr: 1.000e-04 train loss: 4.025840 train token_acc: 0.0056 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 750 lr: 9.998e-05 train loss: 3.689137 train token_acc: 0.0189 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 1000 lr: 9.994e-05 train loss: 3.069240 train token_acc: 0.0433 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 1250 lr: 9.989e-05 train loss: 2.619186 train token_acc: 0.1085 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 1500 lr: 9.981e-05 train loss: 2.177860 train token_acc: 0.2381 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 1750 lr: 9.972e-05 train loss: 1.822998 train token_acc: 0.3608 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 2000 lr: 9.960e-05 train loss: 1.566901 train token_acc: 0.4525 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 2250 lr: 9.947e-05 train loss: 1.351128 train token_acc: 0.5301 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.74s)
itr: 2500 lr: 9.931e-05 train loss: 1.193566 train token_acc: 0.5898 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.74s)
itr: 2750 lr: 9.914e-05 train loss: 1.049993 train token_acc: 0.6422 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.74s)
itr: 3000 lr: 9.895e-05 train loss: 0.946764 train token_acc: 0.6815 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3250 lr: 9.874e-05 train loss: 0.843574 train token_acc: 0.7199 train exact_match_acc: 0.0063 (K~16.00, min=16, max=16, dt=1.74s)
itr: 3500 lr: 9.851e-05 train loss: 0.767867 train token_acc: 0.7458 train exact_match_acc: 0.0120 (K~16.00, min=16, max=16, dt=1.74s)
itr: 3750 lr: 9.826e-05 train loss: 0.703066 train token_acc: 0.7704 train exact_match_acc: 0.0161 (K~16.00, min=16, max=16, dt=1.74s)
itr: 4000 lr: 9.799e-05 train loss: 0.644886 train token_acc: 0.7904 train exact_match_acc: 0.0286 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4250 lr: 9.771e-05 train loss: 0.594721 train token_acc: 0.8102 train exact_match_acc: 0.0452 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4500 lr: 9.740e-05 train loss: 0.542448 train token_acc: 0.8290 train exact_match_acc: 0.0623 (K~16.00, min=16, max=16, dt=1.74s)
itr: 4750 lr: 9.708e-05 train loss: 0.515315 train token_acc: 0.8397 train exact_match_acc: 0.0708 (K~16.00, min=16, max=16, dt=1.74s)
itr: 5000 lr: 9.674e-05 train loss: 0.463821 train token_acc: 0.8564 train exact_match_acc: 0.0942 (K~16.00, min=16, max=16, dt=1.74s)
itr: 5250 lr: 9.638e-05 train loss: 0.443416 train token_acc: 0.8660 train exact_match_acc: 0.1182 (K~16.00, min=16, max=16, dt=1.74s)
itr: 5500 lr: 9.600e-05 train loss: 0.414618 train token_acc: 0.8746 train exact_match_acc: 0.1426 (K~16.00, min=16, max=16, dt=1.74s)
itr: 5750 lr: 9.561e-05 train loss: 0.384625 train token_acc: 0.8843 train exact_match_acc: 0.1667 (K~16.00, min=16, max=16, dt=1.74s)
itr: 6000 lr: 9.519e-05 train loss: 0.366505 train token_acc: 0.8930 train exact_match_acc: 0.1946 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6250 lr: 9.476e-05 train loss: 0.332156 train token_acc: 0.9008 train exact_match_acc: 0.2163 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6500 lr: 9.432e-05 train loss: 0.331447 train token_acc: 0.9056 train exact_match_acc: 0.2393 (K~16.00, min=16, max=16, dt=1.74s)
itr: 6750 lr: 9.385e-05 train loss: 0.304874 train token_acc: 0.9129 train exact_match_acc: 0.2590 (K~16.00, min=16, max=16, dt=1.74s)
itr: 7000 lr: 9.337e-05 train loss: 0.295695 train token_acc: 0.9185 train exact_match_acc: 0.2856 (K~16.00, min=16, max=16, dt=1.74s)
itr: 7250 lr: 9.287e-05 train loss: 0.265738 train token_acc: 0.9240 train exact_match_acc: 0.3108 (K~16.00, min=16, max=16, dt=1.74s)
itr: 7500 lr: 9.235e-05 train loss: 0.258843 train token_acc: 0.9302 train exact_match_acc: 0.3403 (K~16.00, min=16, max=16, dt=1.74s)
itr: 7750 lr: 9.182e-05 train loss: 0.243936 train token_acc: 0.9332 train exact_match_acc: 0.3621 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8000 lr: 9.127e-05 train loss: 0.234383 train token_acc: 0.9386 train exact_match_acc: 0.3901 (K~16.00, min=16, max=16, dt=1.74s)
itr: 8250 lr: 9.071e-05 train loss: 0.233254 train token_acc: 0.9402 train exact_match_acc: 0.3977 (K~16.00, min=16, max=16, dt=1.74s)
itr: 8500 lr: 9.013e-05 train loss: 0.225719 train token_acc: 0.9424 train exact_match_acc: 0.4121 (K~16.00, min=16, max=16, dt=1.74s)
itr: 8750 lr: 8.953e-05 train loss: 0.197732 train token_acc: 0.9492 train exact_match_acc: 0.4624 (K~16.00, min=16, max=16, dt=1.74s)
itr: 9000 lr: 8.892e-05 train loss: 0.184575 train token_acc: 0.9509 train exact_match_acc: 0.4753 (K~16.00, min=16, max=16, dt=1.74s)
itr: 9250 lr: 8.829e-05 train loss: 0.190524 train token_acc: 0.9510 train exact_match_acc: 0.4673 (K~16.00, min=16, max=16, dt=1.74s)
itr: 9500 lr: 8.765e-05 train loss: 0.170814 train token_acc: 0.9557 train exact_match_acc: 0.5168 (K~16.00, min=16, max=16, dt=1.74s)
itr: 9750 lr: 8.700e-05 train loss: 0.177773 train token_acc: 0.9596 train exact_match_acc: 0.5364 (K~16.00, min=16, max=16, dt=1.74s)
itr: 10000 lr: 8.632e-05 train loss: 0.160179 train token_acc: 0.9585 train exact_match_acc: 0.5239 (K~16.00, min=16, max=16, dt=1.74s)
itr: 10250 lr: 8.564e-05 train loss: 0.147059 train token_acc: 0.9634 train exact_match_acc: 0.5735 (K~16.00, min=16, max=16, dt=1.74s)
itr: 10500 lr: 8.494e-05 train loss: 0.155556 train token_acc: 0.9641 train exact_match_acc: 0.5811 (K~16.00, min=16, max=16, dt=1.74s)
itr: 10750 lr: 8.423e-05 train loss: 0.151944 train token_acc: 0.9642 train exact_match_acc: 0.5754 (K~16.00, min=16, max=16, dt=1.74s)
