training:  19%|█▉        | 7736/40000 [00:53<03:43, 144.63it/s]
itr: 0 lr: 2.494e-07 train loss: 4.213807 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.174157 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.76s)
itr: 500 lr: 1.000e-04 train loss: 4.035862 train token_acc: 0.0063 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 750 lr: 9.998e-05 train loss: 3.716835 train token_acc: 0.0176 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1000 lr: 9.994e-05 train loss: 3.170971 train token_acc: 0.0473 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1250 lr: 9.989e-05 train loss: 2.559968 train token_acc: 0.1106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1500 lr: 9.981e-05 train loss: 2.281039 train token_acc: 0.1912 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 1750 lr: 9.972e-05 train loss: 2.076139 train token_acc: 0.2603 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2000 lr: 9.960e-05 train loss: 1.876396 train token_acc: 0.3291 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2250 lr: 9.947e-05 train loss: 1.655433 train token_acc: 0.4101 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2500 lr: 9.931e-05 train loss: 1.435526 train token_acc: 0.4904 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 2750 lr: 9.914e-05 train loss: 1.223259 train token_acc: 0.5717 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3000 lr: 9.895e-05 train loss: 1.029433 train token_acc: 0.6437 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3250 lr: 9.874e-05 train loss: 0.887764 train token_acc: 0.6961 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3500 lr: 9.851e-05 train loss: 0.766840 train token_acc: 0.7416 train exact_match_acc: 0.0059 (K~16.00, min=16, max=16, dt=1.73s)
itr: 3750 lr: 9.826e-05 train loss: 0.680659 train token_acc: 0.7749 train exact_match_acc: 0.0183 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4000 lr: 9.799e-05 train loss: 0.602954 train token_acc: 0.8059 train exact_match_acc: 0.0312 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4250 lr: 9.771e-05 train loss: 0.537204 train token_acc: 0.8305 train exact_match_acc: 0.0500 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4500 lr: 9.740e-05 train loss: 0.489058 train token_acc: 0.8484 train exact_match_acc: 0.0774 (K~16.00, min=16, max=16, dt=1.73s)
itr: 4750 lr: 9.708e-05 train loss: 0.448218 train token_acc: 0.8614 train exact_match_acc: 0.0962 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5000 lr: 9.674e-05 train loss: 0.407816 train token_acc: 0.8769 train exact_match_acc: 0.1340 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5250 lr: 9.638e-05 train loss: 0.375399 train token_acc: 0.8894 train exact_match_acc: 0.1702 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5500 lr: 9.600e-05 train loss: 0.335775 train token_acc: 0.9016 train exact_match_acc: 0.2068 (K~16.00, min=16, max=16, dt=1.73s)
itr: 5750 lr: 9.561e-05 train loss: 0.313851 train token_acc: 0.9114 train exact_match_acc: 0.2422 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6000 lr: 9.519e-05 train loss: 0.288054 train token_acc: 0.9203 train exact_match_acc: 0.2781 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6250 lr: 9.476e-05 train loss: 0.265552 train token_acc: 0.9282 train exact_match_acc: 0.3247 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6500 lr: 9.432e-05 train loss: 0.244532 train token_acc: 0.9334 train exact_match_acc: 0.3623 (K~16.00, min=16, max=16, dt=1.73s)
itr: 6750 lr: 9.385e-05 train loss: 0.230234 train token_acc: 0.9410 train exact_match_acc: 0.4062 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7000 lr: 9.337e-05 train loss: 0.204474 train token_acc: 0.9470 train exact_match_acc: 0.4363 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7250 lr: 9.287e-05 train loss: 0.188296 train token_acc: 0.9510 train exact_match_acc: 0.4741 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7500 lr: 9.235e-05 train loss: 0.183669 train token_acc: 0.9561 train exact_match_acc: 0.5098 (K~16.00, min=16, max=16, dt=1.73s)
itr: 7750 lr: 9.182e-05 train loss: 0.176975 train token_acc: 0.9591 train exact_match_acc: 0.5413 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8000 lr: 9.127e-05 train loss: 0.156333 train token_acc: 0.9620 train exact_match_acc: 0.5735 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8250 lr: 9.071e-05 train loss: 0.149230 train token_acc: 0.9658 train exact_match_acc: 0.5947 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8500 lr: 9.013e-05 train loss: 0.153747 train token_acc: 0.9649 train exact_match_acc: 0.5828 (K~16.00, min=16, max=16, dt=1.73s)
itr: 8750 lr: 8.953e-05 train loss: 0.138556 train token_acc: 0.9705 train exact_match_acc: 0.6448 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9000 lr: 8.892e-05 train loss: 0.119593 train token_acc: 0.9737 train exact_match_acc: 0.6689 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9250 lr: 8.829e-05 train loss: 0.127826 train token_acc: 0.9747 train exact_match_acc: 0.6807 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9500 lr: 8.765e-05 train loss: 0.111025 train token_acc: 0.9755 train exact_match_acc: 0.6921 (K~16.00, min=16, max=16, dt=1.73s)
itr: 9750 lr: 8.700e-05 train loss: 0.099615 train token_acc: 0.9784 train exact_match_acc: 0.7156 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10000 lr: 8.632e-05 train loss: 0.106859 train token_acc: 0.9779 train exact_match_acc: 0.7112 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10250 lr: 8.564e-05 train loss: 0.095150 train token_acc: 0.9793 train exact_match_acc: 0.7336 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10500 lr: 8.494e-05 train loss: 0.093377 train token_acc: 0.9816 train exact_match_acc: 0.7603 (K~16.00, min=16, max=16, dt=1.73s)
itr: 10750 lr: 8.423e-05 train loss: 0.090041 train token_acc: 0.9815 train exact_match_acc: 0.7498 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11000 lr: 8.351e-05 train loss: 0.079777 train token_acc: 0.9835 train exact_match_acc: 0.7761 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11250 lr: 8.277e-05 train loss: 0.071393 train token_acc: 0.9846 train exact_match_acc: 0.7915 (K~16.00, min=16, max=16, dt=1.73s)
itr: 11500 lr: 8.202e-05 train loss: 0.085451 train token_acc: 0.9850 train exact_match_acc: 0.7976 (K~16.00, min=16, max=16, dt=1.73s)
