training:  19%|█▉        | 7741/40000 [00:59<04:08, 129.92it/s]
itr: 0 lr: 2.494e-07 train loss: 5.233282 train token_acc: 0.0010 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.39s)
itr: 250 lr: 6.259e-05 train loss: 4.445204 train token_acc: 0.0202 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 500 lr: 1.000e-04 train loss: 3.433338 train token_acc: 0.0946 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 750 lr: 9.998e-05 train loss: 2.520303 train token_acc: 0.2442 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1000 lr: 9.994e-05 train loss: 1.730923 train token_acc: 0.4872 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1250 lr: 9.989e-05 train loss: 1.173773 train token_acc: 0.6491 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.859246 train token_acc: 0.7401 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.583790 train token_acc: 0.8196 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.445952 train token_acc: 0.8527 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.360001 train token_acc: 0.8745 train exact_match_acc: 0.0044 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2500 lr: 9.931e-05 train loss: 0.305968 train token_acc: 0.8906 train exact_match_acc: 0.0081 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.264865 train token_acc: 0.9027 train exact_match_acc: 0.0391 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.230849 train token_acc: 0.9135 train exact_match_acc: 0.0779 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.206465 train token_acc: 0.9221 train exact_match_acc: 0.1504 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.197762 train token_acc: 0.9230 train exact_match_acc: 0.1638 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.195825 train token_acc: 0.9227 train exact_match_acc: 0.1501 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.193188 train token_acc: 0.9229 train exact_match_acc: 0.1543 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.193315 train token_acc: 0.9214 train exact_match_acc: 0.1621 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.185352 train token_acc: 0.9250 train exact_match_acc: 0.1516 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.186827 train token_acc: 0.9240 train exact_match_acc: 0.1562 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.186564 train token_acc: 0.9233 train exact_match_acc: 0.1365 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.186819 train token_acc: 0.9223 train exact_match_acc: 0.1428 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5500 lr: 9.600e-05 train loss: 0.183185 train token_acc: 0.9248 train exact_match_acc: 0.1699 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.183733 train token_acc: 0.9232 train exact_match_acc: 0.1526 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6000 lr: 9.519e-05 train loss: 0.184125 train token_acc: 0.9236 train exact_match_acc: 0.1650 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6250 lr: 9.476e-05 train loss: 0.183487 train token_acc: 0.9232 train exact_match_acc: 0.1533 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6500 lr: 9.432e-05 train loss: 0.180836 train token_acc: 0.9252 train exact_match_acc: 0.1589 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6750 lr: 9.385e-05 train loss: 0.182759 train token_acc: 0.9237 train exact_match_acc: 0.1455 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7000 lr: 9.337e-05 train loss: 0.181316 train token_acc: 0.9243 train exact_match_acc: 0.1711 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7250 lr: 9.287e-05 train loss: 0.182262 train token_acc: 0.9235 train exact_match_acc: 0.1543 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7500 lr: 9.235e-05 train loss: 0.182947 train token_acc: 0.9238 train exact_match_acc: 0.1646 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7750 lr: 9.182e-05 train loss: 0.181989 train token_acc: 0.9243 train exact_match_acc: 0.1653 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8000 lr: 9.127e-05 train loss: 0.180139 train token_acc: 0.9247 train exact_match_acc: 0.1677 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8250 lr: 9.071e-05 train loss: 0.180671 train token_acc: 0.9240 train exact_match_acc: 0.1362 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8500 lr: 9.013e-05 train loss: 0.179387 train token_acc: 0.9247 train exact_match_acc: 0.1567 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8750 lr: 8.953e-05 train loss: 0.178189 train token_acc: 0.9256 train exact_match_acc: 0.1526 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9000 lr: 8.892e-05 train loss: 0.179864 train token_acc: 0.9244 train exact_match_acc: 0.1533 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9250 lr: 8.829e-05 train loss: 0.178133 train token_acc: 0.9243 train exact_match_acc: 0.1550 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9500 lr: 8.765e-05 train loss: 0.178315 train token_acc: 0.9254 train exact_match_acc: 0.1482 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9750 lr: 8.700e-05 train loss: 0.180941 train token_acc: 0.9246 train exact_match_acc: 0.1477 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10000 lr: 8.632e-05 train loss: 0.179206 train token_acc: 0.9251 train exact_match_acc: 0.1755 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10250 lr: 8.564e-05 train loss: 0.178080 train token_acc: 0.9256 train exact_match_acc: 0.1616 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10500 lr: 8.494e-05 train loss: 0.178930 train token_acc: 0.9246 train exact_match_acc: 0.1575 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10750 lr: 8.423e-05 train loss: 0.178084 train token_acc: 0.9249 train exact_match_acc: 0.1643 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11000 lr: 8.351e-05 train loss: 0.179798 train token_acc: 0.9247 train exact_match_acc: 0.1672 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11250 lr: 8.277e-05 train loss: 0.177263 train token_acc: 0.9252 train exact_match_acc: 0.1655 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11500 lr: 8.202e-05 train loss: 0.178403 train token_acc: 0.9245 train exact_match_acc: 0.1499 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11750 lr: 8.125e-05 train loss: 0.177580 train token_acc: 0.9258 train exact_match_acc: 0.1646 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12000 lr: 8.048e-05 train loss: 0.176872 train token_acc: 0.9250 train exact_match_acc: 0.1660 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12250 lr: 7.969e-05 train loss: 0.177745 train token_acc: 0.9247 train exact_match_acc: 0.1531 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12500 lr: 7.889e-05 train loss: 0.180551 train token_acc: 0.9230 train exact_match_acc: 0.1255 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12750 lr: 7.808e-05 train loss: 0.176981 train token_acc: 0.9262 train exact_match_acc: 0.1541 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13000 lr: 7.726e-05 train loss: 0.177930 train token_acc: 0.9240 train exact_match_acc: 0.1558 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13250 lr: 7.643e-05 train loss: 0.179337 train token_acc: 0.9236 train exact_match_acc: 0.1494 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13500 lr: 7.559e-05 train loss: 0.176887 train token_acc: 0.9253 train exact_match_acc: 0.1528 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13750 lr: 7.474e-05 train loss: 0.178709 train token_acc: 0.9238 train exact_match_acc: 0.1445 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14000 lr: 7.388e-05 train loss: 0.178090 train token_acc: 0.9250 train exact_match_acc: 0.1602 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14250 lr: 7.301e-05 train loss: 0.179035 train token_acc: 0.9239 train exact_match_acc: 0.1421 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14500 lr: 7.213e-05 train loss: 0.178303 train token_acc: 0.9256 train exact_match_acc: 0.1536 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14750 lr: 7.124e-05 train loss: 0.179494 train token_acc: 0.9240 train exact_match_acc: 0.1672 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15000 lr: 7.035e-05 train loss: 0.178455 train token_acc: 0.9251 train exact_match_acc: 0.1606 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15250 lr: 6.944e-05 train loss: 0.178000 train token_acc: 0.9247 train exact_match_acc: 0.1362 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15500 lr: 6.853e-05 train loss: 0.179547 train token_acc: 0.9237 train exact_match_acc: 0.1470 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15750 lr: 6.761e-05 train loss: 0.177143 train token_acc: 0.9257 train exact_match_acc: 0.1641 (K~16.00, min=16, max=16, dt=1.93s)
itr: 16000 lr: 6.669e-05 train loss: 0.179954 train token_acc: 0.9234 train exact_match_acc: 0.1519 (K~16.00, min=16, max=16, dt=1.93s)
itr: 16250 lr: 6.576e-05 train loss: 0.178248 train token_acc: 0.9240 train exact_match_acc: 0.1621 (K~16.00, min=16, max=16, dt=1.93s)
