training:  19%|█▉        | 7737/40000 [00:59<04:07, 130.18it/s]
itr: 0 lr: 2.494e-07 train loss: 5.208343 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.403053 train token_acc: 0.0169 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 500 lr: 1.000e-04 train loss: 3.375216 train token_acc: 0.0949 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.92s)
itr: 750 lr: 9.998e-05 train loss: 2.364461 train token_acc: 0.3341 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1000 lr: 9.994e-05 train loss: 1.391567 train token_acc: 0.6303 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1250 lr: 9.989e-05 train loss: 0.584410 train token_acc: 0.8690 train exact_match_acc: 0.0610 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1500 lr: 9.981e-05 train loss: 0.151534 train token_acc: 0.9857 train exact_match_acc: 0.7817 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1750 lr: 9.972e-05 train loss: 0.051409 train token_acc: 0.9947 train exact_match_acc: 0.9160 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2000 lr: 9.960e-05 train loss: 0.026581 train token_acc: 0.9966 train exact_match_acc: 0.9456 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2250 lr: 9.947e-05 train loss: 0.014908 train token_acc: 0.9977 train exact_match_acc: 0.9629 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2500 lr: 9.931e-05 train loss: 0.009147 train token_acc: 0.9985 train exact_match_acc: 0.9761 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2750 lr: 9.914e-05 train loss: 0.007842 train token_acc: 0.9984 train exact_match_acc: 0.9749 (K~16.00, min=16, max=16, dt=1.92s)
itr: 3000 lr: 9.895e-05 train loss: 0.006288 train token_acc: 0.9987 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.006093 train token_acc: 0.9986 train exact_match_acc: 0.9768 (K~16.00, min=16, max=16, dt=1.92s)
itr: 3500 lr: 9.851e-05 train loss: 0.005153 train token_acc: 0.9988 train exact_match_acc: 0.9802 (K~16.00, min=16, max=16, dt=1.92s)
itr: 3750 lr: 9.826e-05 train loss: 0.004318 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=1.92s)
itr: 4000 lr: 9.799e-05 train loss: 0.003564 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=1.92s)
itr: 4250 lr: 9.771e-05 train loss: 0.003411 train token_acc: 0.9992 train exact_match_acc: 0.9866 (K~16.00, min=16, max=16, dt=1.92s)
itr: 4500 lr: 9.740e-05 train loss: 0.002733 train token_acc: 0.9992 train exact_match_acc: 0.9873 (K~16.00, min=16, max=16, dt=1.92s)
itr: 4750 lr: 9.708e-05 train loss: 0.002741 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=1.92s)
itr: 5000 lr: 9.674e-05 train loss: 0.002501 train token_acc: 0.9994 train exact_match_acc: 0.9905 (K~16.00, min=16, max=16, dt=1.92s)
itr: 5250 lr: 9.638e-05 train loss: 0.002411 train token_acc: 0.9993 train exact_match_acc: 0.9885 (K~16.00, min=16, max=16, dt=1.92s)
itr: 5500 lr: 9.600e-05 train loss: 0.002164 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=1.92s)
itr: 5750 lr: 9.561e-05 train loss: 0.002180 train token_acc: 0.9993 train exact_match_acc: 0.9888 (K~16.00, min=16, max=16, dt=1.92s)
itr: 6000 lr: 9.519e-05 train loss: 0.002352 train token_acc: 0.9993 train exact_match_acc: 0.9888 (K~16.00, min=16, max=16, dt=1.92s)
itr: 6250 lr: 9.476e-05 train loss: 0.002027 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=1.92s)
itr: 6500 lr: 9.432e-05 train loss: 0.001871 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=1.92s)
itr: 6750 lr: 9.385e-05 train loss: 0.001371 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=1.92s)
itr: 7000 lr: 9.337e-05 train loss: 0.001670 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=1.92s)
itr: 7250 lr: 9.287e-05 train loss: 0.001735 train token_acc: 0.9994 train exact_match_acc: 0.9905 (K~16.00, min=16, max=16, dt=1.92s)
itr: 7500 lr: 9.235e-05 train loss: 0.001455 train token_acc: 0.9995 train exact_match_acc: 0.9927 (K~16.00, min=16, max=16, dt=1.92s)
itr: 7750 lr: 9.182e-05 train loss: 0.001194 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=1.92s)
itr: 8000 lr: 9.127e-05 train loss: 0.001422 train token_acc: 0.9994 train exact_match_acc: 0.9905 (K~16.00, min=16, max=16, dt=1.92s)
itr: 8250 lr: 9.071e-05 train loss: 0.001526 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=1.92s)
itr: 8500 lr: 9.013e-05 train loss: 0.001497 train token_acc: 0.9995 train exact_match_acc: 0.9927 (K~16.00, min=16, max=16, dt=1.92s)
itr: 8750 lr: 8.953e-05 train loss: 0.001305 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=1.92s)
itr: 9000 lr: 8.892e-05 train loss: 0.001294 train token_acc: 0.9995 train exact_match_acc: 0.9927 (K~16.00, min=16, max=16, dt=1.92s)
itr: 9250 lr: 8.829e-05 train loss: 0.001462 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=1.92s)
itr: 9500 lr: 8.765e-05 train loss: 0.000727 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=1.92s)
itr: 9750 lr: 8.700e-05 train loss: 0.001191 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=1.92s)
itr: 10000 lr: 8.632e-05 train loss: 0.000967 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=1.92s)
itr: 10250 lr: 8.564e-05 train loss: 0.000735 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=1.92s)
itr: 10500 lr: 8.494e-05 train loss: 0.000975 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=1.92s)
itr: 10750 lr: 8.423e-05 train loss: 0.001305 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=1.92s)
itr: 11000 lr: 8.351e-05 train loss: 0.001007 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=1.92s)
itr: 11250 lr: 8.277e-05 train loss: 0.001111 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=1.92s)
itr: 11500 lr: 8.202e-05 train loss: 0.000868 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=1.92s)
itr: 11750 lr: 8.125e-05 train loss: 0.000670 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=1.92s)
itr: 12000 lr: 8.048e-05 train loss: 0.000739 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=1.92s)
itr: 12250 lr: 7.969e-05 train loss: 0.000612 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=1.92s)
itr: 12500 lr: 7.889e-05 train loss: 0.000730 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=1.92s)
itr: 12750 lr: 7.808e-05 train loss: 0.000815 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=1.92s)
itr: 13000 lr: 7.726e-05 train loss: 0.000875 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=1.92s)
itr: 13250 lr: 7.643e-05 train loss: 0.000746 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=1.92s)
itr: 13500 lr: 7.559e-05 train loss: 0.000647 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=1.92s)
itr: 13750 lr: 7.474e-05 train loss: 0.001141 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=1.92s)
itr: 14000 lr: 7.388e-05 train loss: 0.000829 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=1.92s)
itr: 14250 lr: 7.301e-05 train loss: 0.000726 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=1.92s)
itr: 14500 lr: 7.213e-05 train loss: 0.000595 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=1.92s)
itr: 14750 lr: 7.124e-05 train loss: 0.001007 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=1.92s)
itr: 15000 lr: 7.035e-05 train loss: 0.000729 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=1.92s)
