training:  19%|█▉        | 7750/40000 [01:00<04:08, 130.03it/s]
itr: 0 lr: 2.494e-07 train loss: 4.218634 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.43s)
itr: 250 lr: 6.259e-05 train loss: 3.878329 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 500 lr: 1.000e-04 train loss: 2.977739 train token_acc: 0.1251 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 750 lr: 9.998e-05 train loss: 2.374203 train token_acc: 0.3403 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1000 lr: 9.994e-05 train loss: 1.824353 train token_acc: 0.5966 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1250 lr: 9.989e-05 train loss: 1.222548 train token_acc: 0.7450 train exact_match_acc: 0.0144 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.723663 train token_acc: 0.8542 train exact_match_acc: 0.1018 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.413920 train token_acc: 0.9188 train exact_match_acc: 0.2776 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.243128 train token_acc: 0.9666 train exact_match_acc: 0.5618 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.152986 train token_acc: 0.9825 train exact_match_acc: 0.7395 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2500 lr: 9.931e-05 train loss: 0.105388 train token_acc: 0.9883 train exact_match_acc: 0.8188 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.078803 train token_acc: 0.9922 train exact_match_acc: 0.8782 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.068483 train token_acc: 0.9929 train exact_match_acc: 0.8870 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.055796 train token_acc: 0.9937 train exact_match_acc: 0.8994 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.050853 train token_acc: 0.9938 train exact_match_acc: 0.9016 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.046132 train token_acc: 0.9943 train exact_match_acc: 0.9097 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.040928 train token_acc: 0.9948 train exact_match_acc: 0.9175 (K~16.00, min=16, max=16, dt=1.93s)
