training:  19%|█▉        | 7747/40000 [00:59<04:08, 130.01it/s]
itr: 0 lr: 2.494e-07 train loss: 4.229601 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 3.879096 train token_acc: 0.0217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 500 lr: 1.000e-04 train loss: 2.997725 train token_acc: 0.1241 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 750 lr: 9.998e-05 train loss: 2.376860 train token_acc: 0.3004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1000 lr: 9.994e-05 train loss: 1.844662 train token_acc: 0.5656 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1250 lr: 9.989e-05 train loss: 1.279602 train token_acc: 0.7176 train exact_match_acc: 0.0081 (K~16.00, min=16, max=16, dt=1.92s)
itr: 1500 lr: 9.981e-05 train loss: 0.785732 train token_acc: 0.8312 train exact_match_acc: 0.0767 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.451965 train token_acc: 0.9098 train exact_match_acc: 0.2502 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.265301 train token_acc: 0.9584 train exact_match_acc: 0.5071 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.162440 train token_acc: 0.9801 train exact_match_acc: 0.7109 (K~16.00, min=16, max=16, dt=1.92s)
itr: 2500 lr: 9.931e-05 train loss: 0.110947 train token_acc: 0.9880 train exact_match_acc: 0.8152 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.076582 train token_acc: 0.9915 train exact_match_acc: 0.8708 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.063085 train token_acc: 0.9936 train exact_match_acc: 0.8994 (K~16.00, min=16, max=16, dt=1.92s)
itr: 3250 lr: 9.874e-05 train loss: 0.050227 train token_acc: 0.9946 train exact_match_acc: 0.9141 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.045440 train token_acc: 0.9952 train exact_match_acc: 0.9241 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.042145 train token_acc: 0.9953 train exact_match_acc: 0.9248 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.036036 train token_acc: 0.9957 train exact_match_acc: 0.9316 (K~16.00, min=16, max=16, dt=1.92s)
itr: 4250 lr: 9.771e-05 train loss: 0.033416 train token_acc: 0.9959 train exact_match_acc: 0.9348 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.027796 train token_acc: 0.9965 train exact_match_acc: 0.9443 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.027825 train token_acc: 0.9967 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.026357 train token_acc: 0.9967 train exact_match_acc: 0.9473 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.026387 train token_acc: 0.9966 train exact_match_acc: 0.9463 (K~16.00, min=16, max=16, dt=1.92s)
itr: 5500 lr: 9.600e-05 train loss: 0.024501 train token_acc: 0.9969 train exact_match_acc: 0.9504 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.022495 train token_acc: 0.9971 train exact_match_acc: 0.9541 (K~16.00, min=16, max=16, dt=1.93s)
