training:  19%|█▉        | 7745/40000 [00:59<04:08, 129.92it/s]
itr: 0 lr: 2.494e-07 train loss: 4.209642 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 3.856321 train token_acc: 0.0012 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 500 lr: 1.000e-04 train loss: 2.976530 train token_acc: 0.1319 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 750 lr: 9.998e-05 train loss: 2.317326 train token_acc: 0.3796 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1000 lr: 9.994e-05 train loss: 1.755719 train token_acc: 0.6258 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1250 lr: 9.989e-05 train loss: 1.172885 train token_acc: 0.7436 train exact_match_acc: 0.0127 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.699735 train token_acc: 0.8447 train exact_match_acc: 0.0933 (K~16.00, min=16, max=16, dt=1.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.377439 train token_acc: 0.9287 train exact_match_acc: 0.3269 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.214807 train token_acc: 0.9720 train exact_match_acc: 0.6143 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.128074 train token_acc: 0.9865 train exact_match_acc: 0.7947 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2500 lr: 9.931e-05 train loss: 0.082833 train token_acc: 0.9921 train exact_match_acc: 0.8774 (K~16.00, min=16, max=16, dt=1.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.067387 train token_acc: 0.9935 train exact_match_acc: 0.8967 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.049619 train token_acc: 0.9950 train exact_match_acc: 0.9204 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.044737 train token_acc: 0.9953 train exact_match_acc: 0.9260 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.037971 train token_acc: 0.9958 train exact_match_acc: 0.9333 (K~16.00, min=16, max=16, dt=1.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.035099 train token_acc: 0.9959 train exact_match_acc: 0.9348 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.031806 train token_acc: 0.9959 train exact_match_acc: 0.9351 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.027304 train token_acc: 0.9964 train exact_match_acc: 0.9426 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.029046 train token_acc: 0.9959 train exact_match_acc: 0.9353 (K~16.00, min=16, max=16, dt=1.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.024331 train token_acc: 0.9967 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.025071 train token_acc: 0.9964 train exact_match_acc: 0.9417 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.022835 train token_acc: 0.9967 train exact_match_acc: 0.9478 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5500 lr: 9.600e-05 train loss: 0.022484 train token_acc: 0.9967 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=1.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.020747 train token_acc: 0.9971 train exact_match_acc: 0.9531 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6000 lr: 9.519e-05 train loss: 0.020103 train token_acc: 0.9969 train exact_match_acc: 0.9509 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6250 lr: 9.476e-05 train loss: 0.017571 train token_acc: 0.9974 train exact_match_acc: 0.9578 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6500 lr: 9.432e-05 train loss: 0.016542 train token_acc: 0.9970 train exact_match_acc: 0.9529 (K~16.00, min=16, max=16, dt=1.93s)
itr: 6750 lr: 9.385e-05 train loss: 0.016028 train token_acc: 0.9974 train exact_match_acc: 0.9583 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7000 lr: 9.337e-05 train loss: 0.015331 train token_acc: 0.9975 train exact_match_acc: 0.9604 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7250 lr: 9.287e-05 train loss: 0.015690 train token_acc: 0.9974 train exact_match_acc: 0.9585 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7500 lr: 9.235e-05 train loss: 0.015801 train token_acc: 0.9973 train exact_match_acc: 0.9563 (K~16.00, min=16, max=16, dt=1.93s)
itr: 7750 lr: 9.182e-05 train loss: 0.015210 train token_acc: 0.9974 train exact_match_acc: 0.9587 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8000 lr: 9.127e-05 train loss: 0.013069 train token_acc: 0.9976 train exact_match_acc: 0.9614 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8250 lr: 9.071e-05 train loss: 0.012508 train token_acc: 0.9977 train exact_match_acc: 0.9634 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8500 lr: 9.013e-05 train loss: 0.015427 train token_acc: 0.9973 train exact_match_acc: 0.9561 (K~16.00, min=16, max=16, dt=1.93s)
itr: 8750 lr: 8.953e-05 train loss: 0.014354 train token_acc: 0.9973 train exact_match_acc: 0.9568 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9000 lr: 8.892e-05 train loss: 0.011877 train token_acc: 0.9976 train exact_match_acc: 0.9617 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9250 lr: 8.829e-05 train loss: 0.015033 train token_acc: 0.9973 train exact_match_acc: 0.9573 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9500 lr: 8.765e-05 train loss: 0.014805 train token_acc: 0.9975 train exact_match_acc: 0.9602 (K~16.00, min=16, max=16, dt=1.93s)
itr: 9750 lr: 8.700e-05 train loss: 0.013938 train token_acc: 0.9975 train exact_match_acc: 0.9602 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10000 lr: 8.632e-05 train loss: 0.011796 train token_acc: 0.9979 train exact_match_acc: 0.9668 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10250 lr: 8.564e-05 train loss: 0.011743 train token_acc: 0.9978 train exact_match_acc: 0.9651 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10500 lr: 8.494e-05 train loss: 0.012858 train token_acc: 0.9975 train exact_match_acc: 0.9597 (K~16.00, min=16, max=16, dt=1.93s)
itr: 10750 lr: 8.423e-05 train loss: 0.012373 train token_acc: 0.9978 train exact_match_acc: 0.9641 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11000 lr: 8.351e-05 train loss: 0.011901 train token_acc: 0.9978 train exact_match_acc: 0.9646 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11250 lr: 8.277e-05 train loss: 0.010648 train token_acc: 0.9978 train exact_match_acc: 0.9653 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11500 lr: 8.202e-05 train loss: 0.013177 train token_acc: 0.9975 train exact_match_acc: 0.9600 (K~16.00, min=16, max=16, dt=1.93s)
itr: 11750 lr: 8.125e-05 train loss: 0.010985 train token_acc: 0.9979 train exact_match_acc: 0.9658 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12000 lr: 8.048e-05 train loss: 0.012977 train token_acc: 0.9977 train exact_match_acc: 0.9631 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12250 lr: 7.969e-05 train loss: 0.010135 train token_acc: 0.9979 train exact_match_acc: 0.9663 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12500 lr: 7.889e-05 train loss: 0.011422 train token_acc: 0.9979 train exact_match_acc: 0.9666 (K~16.00, min=16, max=16, dt=1.93s)
itr: 12750 lr: 7.808e-05 train loss: 0.011327 train token_acc: 0.9978 train exact_match_acc: 0.9644 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13000 lr: 7.726e-05 train loss: 0.011969 train token_acc: 0.9977 train exact_match_acc: 0.9629 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13250 lr: 7.643e-05 train loss: 0.011580 train token_acc: 0.9976 train exact_match_acc: 0.9617 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13500 lr: 7.559e-05 train loss: 0.011958 train token_acc: 0.9974 train exact_match_acc: 0.9590 (K~16.00, min=16, max=16, dt=1.93s)
itr: 13750 lr: 7.474e-05 train loss: 0.011133 train token_acc: 0.9978 train exact_match_acc: 0.9656 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14000 lr: 7.388e-05 train loss: 0.011250 train token_acc: 0.9978 train exact_match_acc: 0.9646 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14250 lr: 7.301e-05 train loss: 0.011397 train token_acc: 0.9977 train exact_match_acc: 0.9636 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14500 lr: 7.213e-05 train loss: 0.012796 train token_acc: 0.9976 train exact_match_acc: 0.9612 (K~16.00, min=16, max=16, dt=1.93s)
itr: 14750 lr: 7.124e-05 train loss: 0.010413 train token_acc: 0.9978 train exact_match_acc: 0.9648 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15000 lr: 7.035e-05 train loss: 0.009705 train token_acc: 0.9978 train exact_match_acc: 0.9656 (K~16.00, min=16, max=16, dt=1.93s)
itr: 15250 lr: 6.944e-05 train loss: 0.009609 train token_acc: 0.9980 train exact_match_acc: 0.9685 (K~16.00, min=16, max=16, dt=1.93s)
