training:  19%|█▉        | 7736/40000 [00:39<02:43, 197.23it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182047 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.164220 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.32s)
itr: 500 lr: 1.000e-04 train loss: 4.115657 train token_acc: 0.0268 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 750 lr: 9.998e-05 train loss: 3.934088 train token_acc: 0.0470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.445545 train token_acc: 0.0533 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1250 lr: 9.989e-05 train loss: 3.133783 train token_acc: 0.0794 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.913535 train token_acc: 0.0952 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1750 lr: 9.972e-05 train loss: 2.752960 train token_acc: 0.1222 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.653073 train token_acc: 0.1358 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2250 lr: 9.947e-05 train loss: 2.580972 train token_acc: 0.1443 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.517206 train token_acc: 0.1547 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2750 lr: 9.914e-05 train loss: 2.450462 train token_acc: 0.1655 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 2.398905 train token_acc: 0.1678 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3250 lr: 9.874e-05 train loss: 2.353253 train token_acc: 0.1729 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 2.305825 train token_acc: 0.1814 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3750 lr: 9.826e-05 train loss: 2.263345 train token_acc: 0.1965 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 2.210050 train token_acc: 0.2106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 4250 lr: 9.771e-05 train loss: 2.157734 train token_acc: 0.2203 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 2.106929 train token_acc: 0.2364 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 4750 lr: 9.708e-05 train loss: 2.056202 train token_acc: 0.2464 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 2.001775 train token_acc: 0.2601 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 5250 lr: 9.638e-05 train loss: 1.948018 train token_acc: 0.2779 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.900280 train token_acc: 0.2949 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 5750 lr: 9.561e-05 train loss: 1.852556 train token_acc: 0.3111 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.809782 train token_acc: 0.3205 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 6250 lr: 9.476e-05 train loss: 1.754721 train token_acc: 0.3388 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.708413 train token_acc: 0.3622 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 6750 lr: 9.385e-05 train loss: 1.657594 train token_acc: 0.3821 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.617535 train token_acc: 0.4011 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 7250 lr: 9.287e-05 train loss: 1.579365 train token_acc: 0.4212 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.546204 train token_acc: 0.4333 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 7750 lr: 9.182e-05 train loss: 1.502830 train token_acc: 0.4567 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.466278 train token_acc: 0.4700 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 8250 lr: 9.071e-05 train loss: 1.442241 train token_acc: 0.4842 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.420828 train token_acc: 0.4968 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 8750 lr: 8.953e-05 train loss: 1.390136 train token_acc: 0.5090 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.361355 train token_acc: 0.5181 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 9250 lr: 8.829e-05 train loss: 1.332472 train token_acc: 0.5311 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.308334 train token_acc: 0.5415 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 9750 lr: 8.700e-05 train loss: 1.280574 train token_acc: 0.5518 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.257785 train token_acc: 0.5613 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 10250 lr: 8.564e-05 train loss: 1.242470 train token_acc: 0.5733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 1.212264 train token_acc: 0.5795 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 10750 lr: 8.423e-05 train loss: 1.198439 train token_acc: 0.5865 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11000 lr: 8.351e-05 train loss: 1.171789 train token_acc: 0.5889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 11250 lr: 8.277e-05 train loss: 1.165726 train token_acc: 0.5961 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11500 lr: 8.202e-05 train loss: 1.146797 train token_acc: 0.6010 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 11750 lr: 8.125e-05 train loss: 1.124244 train token_acc: 0.6114 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12000 lr: 8.048e-05 train loss: 1.101978 train token_acc: 0.6185 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 12250 lr: 7.969e-05 train loss: 1.085015 train token_acc: 0.6246 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12500 lr: 7.889e-05 train loss: 1.080240 train token_acc: 0.6265 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 12750 lr: 7.808e-05 train loss: 1.058328 train token_acc: 0.6300 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13000 lr: 7.726e-05 train loss: 1.042533 train token_acc: 0.6341 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 13250 lr: 7.643e-05 train loss: 1.018084 train token_acc: 0.6458 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13500 lr: 7.559e-05 train loss: 1.005598 train token_acc: 0.6492 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 13750 lr: 7.474e-05 train loss: 0.985546 train token_acc: 0.6572 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14000 lr: 7.388e-05 train loss: 0.984183 train token_acc: 0.6596 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 14250 lr: 7.301e-05 train loss: 0.950308 train token_acc: 0.6678 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14500 lr: 7.213e-05 train loss: 0.940480 train token_acc: 0.6750 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 14750 lr: 7.124e-05 train loss: 0.926974 train token_acc: 0.6822 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15000 lr: 7.035e-05 train loss: 0.911940 train token_acc: 0.6859 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 15250 lr: 6.944e-05 train loss: 0.894744 train token_acc: 0.6931 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15500 lr: 6.853e-05 train loss: 0.885424 train token_acc: 0.6967 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 15750 lr: 6.761e-05 train loss: 0.869276 train token_acc: 0.7048 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16000 lr: 6.669e-05 train loss: 0.861605 train token_acc: 0.7089 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 16250 lr: 6.576e-05 train loss: 0.838233 train token_acc: 0.7126 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16500 lr: 6.482e-05 train loss: 0.840751 train token_acc: 0.7201 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 16750 lr: 6.388e-05 train loss: 0.826248 train token_acc: 0.7270 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17000 lr: 6.293e-05 train loss: 0.810865 train token_acc: 0.7266 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 17250 lr: 6.198e-05 train loss: 0.800272 train token_acc: 0.7346 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17500 lr: 6.102e-05 train loss: 0.796532 train token_acc: 0.7347 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 17750 lr: 6.006e-05 train loss: 0.767363 train token_acc: 0.7397 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18000 lr: 5.910e-05 train loss: 0.764878 train token_acc: 0.7432 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 18250 lr: 5.813e-05 train loss: 0.761724 train token_acc: 0.7473 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18500 lr: 5.716e-05 train loss: 0.743466 train token_acc: 0.7505 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 18750 lr: 5.618e-05 train loss: 0.737898 train token_acc: 0.7548 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19000 lr: 5.521e-05 train loss: 0.716947 train token_acc: 0.7562 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.26s)
itr: 19250 lr: 5.423e-05 train loss: 0.717911 train token_acc: 0.7594 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19500 lr: 5.325e-05 train loss: 0.706274 train token_acc: 0.7630 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 19750 lr: 5.227e-05 train loss: 0.708929 train token_acc: 0.7635 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 20000 lr: 5.129e-05 train loss: 0.691194 train token_acc: 0.7642 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
