training:  19%|█▉        | 7736/40000 [00:39<02:43, 196.89it/s]
itr: 0 lr: 2.494e-07 train loss: 4.205896 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 4.173647 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.31s)
itr: 500 lr: 1.000e-04 train loss: 4.059578 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 750 lr: 9.998e-05 train loss: 3.811602 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.340026 train token_acc: 0.0060 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1250 lr: 9.989e-05 train loss: 2.952897 train token_acc: 0.0277 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.717173 train token_acc: 0.0561 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1750 lr: 9.972e-05 train loss: 2.581094 train token_acc: 0.1068 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.470504 train token_acc: 0.1758 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2250 lr: 9.947e-05 train loss: 2.292383 train token_acc: 0.2689 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.003307 train token_acc: 0.3687 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2750 lr: 9.914e-05 train loss: 1.731198 train token_acc: 0.4669 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.491797 train token_acc: 0.5531 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3250 lr: 9.874e-05 train loss: 1.231040 train token_acc: 0.6352 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.014591 train token_acc: 0.6988 train exact_match_acc: 0.0039 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3750 lr: 9.826e-05 train loss: 0.827120 train token_acc: 0.7513 train exact_match_acc: 0.0107 (K~16.00, min=16, max=16, dt=1.27s)
