training:  19%|█▉        | 7736/40000 [00:39<02:43, 197.31it/s]
itr: 0 lr: 2.494e-07 train loss: 4.181975 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.41s)
itr: 250 lr: 6.259e-05 train loss: 4.163474 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.30s)
itr: 500 lr: 1.000e-04 train loss: 4.113901 train token_acc: 0.0348 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 750 lr: 9.998e-05 train loss: 3.957261 train token_acc: 0.0463 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.514576 train token_acc: 0.0571 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1250 lr: 9.989e-05 train loss: 3.173514 train token_acc: 0.0773 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.889686 train token_acc: 0.1124 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1750 lr: 9.972e-05 train loss: 2.741522 train token_acc: 0.1296 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.646852 train token_acc: 0.1446 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2250 lr: 9.947e-05 train loss: 2.563263 train token_acc: 0.1533 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.502088 train token_acc: 0.1582 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2750 lr: 9.914e-05 train loss: 2.427598 train token_acc: 0.1672 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 2.368654 train token_acc: 0.1720 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3250 lr: 9.874e-05 train loss: 2.313029 train token_acc: 0.1828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 2.255445 train token_acc: 0.2035 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3750 lr: 9.826e-05 train loss: 2.199878 train token_acc: 0.2185 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 2.136868 train token_acc: 0.2303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 4250 lr: 9.771e-05 train loss: 2.081026 train token_acc: 0.2455 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.995955 train token_acc: 0.2737 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 4750 lr: 9.708e-05 train loss: 1.913298 train token_acc: 0.3006 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.818692 train token_acc: 0.3309 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 5250 lr: 9.638e-05 train loss: 1.747714 train token_acc: 0.3571 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.692034 train token_acc: 0.3771 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 5750 lr: 9.561e-05 train loss: 1.624488 train token_acc: 0.4051 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.567658 train token_acc: 0.4296 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 6250 lr: 9.476e-05 train loss: 1.489288 train token_acc: 0.4653 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.431657 train token_acc: 0.5033 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 6750 lr: 9.385e-05 train loss: 1.375630 train token_acc: 0.5293 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.309947 train token_acc: 0.5482 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 7250 lr: 9.287e-05 train loss: 1.257266 train token_acc: 0.5681 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.209184 train token_acc: 0.5970 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 7750 lr: 9.182e-05 train loss: 1.155255 train token_acc: 0.6178 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.099924 train token_acc: 0.6403 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 8250 lr: 9.071e-05 train loss: 1.057143 train token_acc: 0.6624 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.007054 train token_acc: 0.6850 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.26s)
itr: 8750 lr: 8.953e-05 train loss: 0.951004 train token_acc: 0.7009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 0.906300 train token_acc: 0.7165 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 9250 lr: 8.829e-05 train loss: 0.880951 train token_acc: 0.7331 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 0.844138 train token_acc: 0.7488 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 9750 lr: 8.700e-05 train loss: 0.810297 train token_acc: 0.7555 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 0.783163 train token_acc: 0.7663 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.26s)
itr: 10250 lr: 8.564e-05 train loss: 0.751389 train token_acc: 0.7770 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 0.731174 train token_acc: 0.7863 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.26s)
itr: 10750 lr: 8.423e-05 train loss: 0.692181 train token_acc: 0.7924 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.27s)
