training:  19%|█▉        | 7735/40000 [00:39<02:44, 196.07it/s]
itr: 0 lr: 2.494e-07 train loss: 4.181327 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.163289 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.31s)
itr: 500 lr: 1.000e-04 train loss: 4.113688 train token_acc: 0.0196 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 750 lr: 9.998e-05 train loss: 3.941045 train token_acc: 0.0493 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 1000 lr: 9.994e-05 train loss: 3.462798 train token_acc: 0.0502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1250 lr: 9.989e-05 train loss: 3.156929 train token_acc: 0.0779 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 1500 lr: 9.981e-05 train loss: 2.915446 train token_acc: 0.1027 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1750 lr: 9.972e-05 train loss: 2.746869 train token_acc: 0.1257 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 2000 lr: 9.960e-05 train loss: 2.652335 train token_acc: 0.1300 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2250 lr: 9.947e-05 train loss: 2.587204 train token_acc: 0.1434 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 2500 lr: 9.931e-05 train loss: 2.544104 train token_acc: 0.1555 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2750 lr: 9.914e-05 train loss: 2.506778 train token_acc: 0.1583 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 3000 lr: 9.895e-05 train loss: 2.453832 train token_acc: 0.1659 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 3250 lr: 9.874e-05 train loss: 2.408860 train token_acc: 0.1771 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
