training:  19%|█▉        | 7735/40000 [00:39<02:45, 195.17it/s]
itr: 0 lr: 2.494e-07 train loss: 4.208018 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.176275 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.32s)
itr: 500 lr: 1.000e-04 train loss: 4.057772 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 750 lr: 9.998e-05 train loss: 3.790943 train token_acc: 0.0114 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 1000 lr: 9.994e-05 train loss: 3.290723 train token_acc: 0.0211 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1250 lr: 9.989e-05 train loss: 2.903550 train token_acc: 0.0380 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 1500 lr: 9.981e-05 train loss: 2.683367 train token_acc: 0.0545 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1750 lr: 9.972e-05 train loss: 2.573009 train token_acc: 0.0978 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 2000 lr: 9.960e-05 train loss: 2.481250 train token_acc: 0.1530 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2250 lr: 9.947e-05 train loss: 2.332760 train token_acc: 0.2316 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 2500 lr: 9.931e-05 train loss: 2.131148 train token_acc: 0.3037 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2750 lr: 9.914e-05 train loss: 1.941572 train token_acc: 0.3770 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 3000 lr: 9.895e-05 train loss: 1.753126 train token_acc: 0.4429 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.555270 train token_acc: 0.5072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 3500 lr: 9.851e-05 train loss: 1.350808 train token_acc: 0.5783 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.165617 train token_acc: 0.6402 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.28s)
itr: 4000 lr: 9.799e-05 train loss: 0.985052 train token_acc: 0.6967 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4250 lr: 9.771e-05 train loss: 0.837544 train token_acc: 0.7451 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.29s)
itr: 4500 lr: 9.740e-05 train loss: 0.709554 train token_acc: 0.7764 train exact_match_acc: 0.0054 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4750 lr: 9.708e-05 train loss: 0.617490 train token_acc: 0.8044 train exact_match_acc: 0.0129 (K~16.00, min=16, max=16, dt=1.28s)
itr: 5000 lr: 9.674e-05 train loss: 0.511315 train token_acc: 0.8376 train exact_match_acc: 0.0447 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5250 lr: 9.638e-05 train loss: 0.408573 train token_acc: 0.8781 train exact_match_acc: 0.1421 (K~16.00, min=16, max=16, dt=1.28s)
itr: 5500 lr: 9.600e-05 train loss: 0.314813 train token_acc: 0.9175 train exact_match_acc: 0.2981 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5750 lr: 9.561e-05 train loss: 0.231470 train token_acc: 0.9428 train exact_match_acc: 0.4285 (K~16.00, min=16, max=16, dt=1.28s)
itr: 6000 lr: 9.519e-05 train loss: 0.189215 train token_acc: 0.9592 train exact_match_acc: 0.5410 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6250 lr: 9.476e-05 train loss: 0.138864 train token_acc: 0.9744 train exact_match_acc: 0.6841 (K~16.00, min=16, max=16, dt=1.28s)
itr: 6500 lr: 9.432e-05 train loss: 0.102473 train token_acc: 0.9844 train exact_match_acc: 0.7891 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6750 lr: 9.385e-05 train loss: 0.078688 train token_acc: 0.9916 train exact_match_acc: 0.8757 (K~16.00, min=16, max=16, dt=1.28s)
itr: 7000 lr: 9.337e-05 train loss: 0.059896 train token_acc: 0.9951 train exact_match_acc: 0.9258 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7250 lr: 9.287e-05 train loss: 0.047847 train token_acc: 0.9960 train exact_match_acc: 0.9387 (K~16.00, min=16, max=16, dt=1.28s)
