training:  19%|█▉        | 7736/40000 [00:39<02:43, 197.06it/s]
itr: 0 lr: 2.494e-07 train loss: 4.214775 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.183594 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.32s)
itr: 500 lr: 1.000e-04 train loss: 4.070567 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 750 lr: 9.998e-05 train loss: 3.826511 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.325322 train token_acc: 0.0069 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1250 lr: 9.989e-05 train loss: 2.947821 train token_acc: 0.0233 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.735021 train token_acc: 0.0458 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 1750 lr: 9.972e-05 train loss: 2.599075 train token_acc: 0.0821 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.504596 train token_acc: 0.1346 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2250 lr: 9.947e-05 train loss: 2.376425 train token_acc: 0.1938 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.206646 train token_acc: 0.2575 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
itr: 2750 lr: 9.914e-05 train loss: 2.021398 train token_acc: 0.3273 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.817311 train token_acc: 0.3965 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.26s)
