training:  19%|█▉        | 7750/40000 [02:41<11:09, 48.20it/s]
itr: 0 lr: 2.494e-07 train loss: 4.211385 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 3.757321 train token_acc: 0.0040 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.24s)
itr: 500 lr: 1.000e-04 train loss: 2.700942 train token_acc: 0.1747 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 750 lr: 9.998e-05 train loss: 1.976771 train token_acc: 0.3616 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1000 lr: 9.994e-05 train loss: 1.516270 train token_acc: 0.5305 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1250 lr: 9.989e-05 train loss: 1.166475 train token_acc: 0.6836 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1500 lr: 9.981e-05 train loss: 0.881463 train token_acc: 0.8086 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1750 lr: 9.972e-05 train loss: 0.642180 train token_acc: 0.9052 train exact_match_acc: 0.0396 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2000 lr: 9.960e-05 train loss: 0.439579 train token_acc: 0.9547 train exact_match_acc: 0.2136 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2250 lr: 9.947e-05 train loss: 0.282857 train token_acc: 0.9737 train exact_match_acc: 0.3945 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2500 lr: 9.931e-05 train loss: 0.183286 train token_acc: 0.9813 train exact_match_acc: 0.5122 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2750 lr: 9.914e-05 train loss: 0.120299 train token_acc: 0.9875 train exact_match_acc: 0.6506 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3000 lr: 9.895e-05 train loss: 0.076485 train token_acc: 0.9919 train exact_match_acc: 0.7573 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3250 lr: 9.874e-05 train loss: 0.051442 train token_acc: 0.9933 train exact_match_acc: 0.7971 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3500 lr: 9.851e-05 train loss: 0.037177 train token_acc: 0.9946 train exact_match_acc: 0.8337 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3750 lr: 9.826e-05 train loss: 0.028209 train token_acc: 0.9953 train exact_match_acc: 0.8552 (K~32.00, min=32, max=32, dt=5.19s)
itr: 4000 lr: 9.799e-05 train loss: 0.022443 train token_acc: 0.9960 train exact_match_acc: 0.8757 (K~32.00, min=32, max=32, dt=5.19s)
itr: 4250 lr: 9.771e-05 train loss: 0.019336 train token_acc: 0.9964 train exact_match_acc: 0.8877 (K~32.00, min=32, max=32, dt=5.19s)
itr: 4500 lr: 9.740e-05 train loss: 0.015328 train token_acc: 0.9968 train exact_match_acc: 0.8977 (K~32.00, min=32, max=32, dt=5.19s)
itr: 4750 lr: 9.708e-05 train loss: 0.013880 train token_acc: 0.9969 train exact_match_acc: 0.9011 (K~32.00, min=32, max=32, dt=5.19s)
itr: 5000 lr: 9.674e-05 train loss: 0.012751 train token_acc: 0.9969 train exact_match_acc: 0.9028 (K~32.00, min=32, max=32, dt=5.19s)
itr: 5250 lr: 9.638e-05 train loss: 0.011792 train token_acc: 0.9971 train exact_match_acc: 0.9067 (K~32.00, min=32, max=32, dt=5.19s)
itr: 5500 lr: 9.600e-05 train loss: 0.010853 train token_acc: 0.9971 train exact_match_acc: 0.9084 (K~32.00, min=32, max=32, dt=5.19s)
itr: 5750 lr: 9.561e-05 train loss: 0.009822 train token_acc: 0.9974 train exact_match_acc: 0.9185 (K~32.00, min=32, max=32, dt=5.19s)
