training:  19%|█▉        | 7747/40000 [02:41<11:10, 48.12it/s]
itr: 0 lr: 2.494e-07 train loss: 4.210083 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 3.768236 train token_acc: 0.0099 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.22s)
itr: 500 lr: 1.000e-04 train loss: 2.659210 train token_acc: 0.2171 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.20s)
itr: 750 lr: 9.998e-05 train loss: 1.939735 train token_acc: 0.3683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.20s)
itr: 1000 lr: 9.994e-05 train loss: 1.474429 train token_acc: 0.5386 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.20s)
itr: 1250 lr: 9.989e-05 train loss: 1.101820 train token_acc: 0.7164 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.20s)
itr: 1500 lr: 9.981e-05 train loss: 0.788414 train token_acc: 0.8744 train exact_match_acc: 0.0103 (K~32.00, min=32, max=32, dt=5.20s)
itr: 1750 lr: 9.972e-05 train loss: 0.536476 train token_acc: 0.9498 train exact_match_acc: 0.1692 (K~32.00, min=32, max=32, dt=5.20s)
itr: 2000 lr: 9.960e-05 train loss: 0.338911 train token_acc: 0.9713 train exact_match_acc: 0.3379 (K~32.00, min=32, max=32, dt=5.20s)
itr: 2250 lr: 9.947e-05 train loss: 0.214067 train token_acc: 0.9768 train exact_match_acc: 0.4062 (K~32.00, min=32, max=32, dt=5.20s)
itr: 2500 lr: 9.931e-05 train loss: 0.141153 train token_acc: 0.9828 train exact_match_acc: 0.5359 (K~32.00, min=32, max=32, dt=5.20s)
itr: 2750 lr: 9.914e-05 train loss: 0.100195 train token_acc: 0.9859 train exact_match_acc: 0.6018 (K~32.00, min=32, max=32, dt=5.20s)
itr: 3000 lr: 9.895e-05 train loss: 0.070756 train token_acc: 0.9886 train exact_match_acc: 0.6709 (K~32.00, min=32, max=32, dt=5.20s)
itr: 3250 lr: 9.874e-05 train loss: 0.059400 train token_acc: 0.9885 train exact_match_acc: 0.6646 (K~32.00, min=32, max=32, dt=5.20s)
itr: 3500 lr: 9.851e-05 train loss: 0.046079 train token_acc: 0.9902 train exact_match_acc: 0.7144 (K~32.00, min=32, max=32, dt=5.20s)
itr: 3750 lr: 9.826e-05 train loss: 0.038837 train token_acc: 0.9911 train exact_match_acc: 0.7373 (K~32.00, min=32, max=32, dt=5.20s)
