training:  19%|█▉        | 7747/40000 [02:42<11:15, 47.74it/s]
itr: 0 lr: 2.494e-07 train loss: 4.709922 train token_acc: 0.0062 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.132248 train token_acc: 0.0107 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.25s)
itr: 500 lr: 1.000e-04 train loss: 2.673330 train token_acc: 0.2620 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.24s)
itr: 750 lr: 9.998e-05 train loss: 1.567854 train token_acc: 0.5613 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.24s)
itr: 1000 lr: 9.994e-05 train loss: 0.756052 train token_acc: 0.8006 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.24s)
itr: 1250 lr: 9.989e-05 train loss: 0.330092 train token_acc: 0.9166 train exact_match_acc: 0.0354 (K~32.00, min=32, max=32, dt=5.24s)
itr: 1500 lr: 9.981e-05 train loss: 0.186877 train token_acc: 0.9560 train exact_match_acc: 0.2126 (K~32.00, min=32, max=32, dt=5.24s)
itr: 1750 lr: 9.972e-05 train loss: 0.113375 train token_acc: 0.9746 train exact_match_acc: 0.4138 (K~32.00, min=32, max=32, dt=5.24s)
itr: 2000 lr: 9.960e-05 train loss: 0.072418 train token_acc: 0.9845 train exact_match_acc: 0.5820 (K~32.00, min=32, max=32, dt=5.24s)
itr: 2250 lr: 9.947e-05 train loss: 0.047187 train token_acc: 0.9902 train exact_match_acc: 0.7217 (K~32.00, min=32, max=32, dt=5.24s)
itr: 2500 lr: 9.931e-05 train loss: 0.035850 train token_acc: 0.9923 train exact_match_acc: 0.7742 (K~32.00, min=32, max=32, dt=5.24s)
itr: 2750 lr: 9.914e-05 train loss: 0.027496 train token_acc: 0.9937 train exact_match_acc: 0.8135 (K~32.00, min=32, max=32, dt=5.24s)
itr: 3000 lr: 9.895e-05 train loss: 0.023826 train token_acc: 0.9945 train exact_match_acc: 0.8330 (K~32.00, min=32, max=32, dt=5.24s)
itr: 3250 lr: 9.874e-05 train loss: 0.021041 train token_acc: 0.9949 train exact_match_acc: 0.8464 (K~32.00, min=32, max=32, dt=5.24s)
itr: 3500 lr: 9.851e-05 train loss: 0.015532 train token_acc: 0.9966 train exact_match_acc: 0.8950 (K~32.00, min=32, max=32, dt=5.24s)
itr: 3750 lr: 9.826e-05 train loss: 0.014212 train token_acc: 0.9969 train exact_match_acc: 0.9043 (K~32.00, min=32, max=32, dt=5.24s)
itr: 4000 lr: 9.799e-05 train loss: 0.011740 train token_acc: 0.9974 train exact_match_acc: 0.9224 (K~32.00, min=32, max=32, dt=5.24s)
itr: 4250 lr: 9.771e-05 train loss: 0.009425 train token_acc: 0.9980 train exact_match_acc: 0.9373 (K~32.00, min=32, max=32, dt=5.24s)
itr: 4500 lr: 9.740e-05 train loss: 0.008314 train token_acc: 0.9981 train exact_match_acc: 0.9402 (K~32.00, min=32, max=32, dt=5.24s)
itr: 4750 lr: 9.708e-05 train loss: 0.006845 train token_acc: 0.9987 train exact_match_acc: 0.9585 (K~32.00, min=32, max=32, dt=5.24s)
itr: 5000 lr: 9.674e-05 train loss: 0.006299 train token_acc: 0.9988 train exact_match_acc: 0.9619 (K~32.00, min=32, max=32, dt=5.24s)
itr: 5250 lr: 9.638e-05 train loss: 0.005614 train token_acc: 0.9988 train exact_match_acc: 0.9646 (K~32.00, min=32, max=32, dt=5.24s)
itr: 5500 lr: 9.600e-05 train loss: 0.004814 train token_acc: 0.9990 train exact_match_acc: 0.9670 (K~32.00, min=32, max=32, dt=5.24s)
itr: 5750 lr: 9.561e-05 train loss: 0.004159 train token_acc: 0.9991 train exact_match_acc: 0.9717 (K~32.00, min=32, max=32, dt=5.24s)
itr: 6000 lr: 9.519e-05 train loss: 0.003625 train token_acc: 0.9993 train exact_match_acc: 0.9766 (K~32.00, min=32, max=32, dt=5.24s)
itr: 6250 lr: 9.476e-05 train loss: 0.003667 train token_acc: 0.9993 train exact_match_acc: 0.9800 (K~32.00, min=32, max=32, dt=5.24s)
itr: 6500 lr: 9.432e-05 train loss: 0.002827 train token_acc: 0.9995 train exact_match_acc: 0.9829 (K~32.00, min=32, max=32, dt=5.24s)
itr: 6750 lr: 9.385e-05 train loss: 0.003046 train token_acc: 0.9994 train exact_match_acc: 0.9822 (K~32.00, min=32, max=32, dt=5.24s)
itr: 7000 lr: 9.337e-05 train loss: 0.002651 train token_acc: 0.9995 train exact_match_acc: 0.9861 (K~32.00, min=32, max=32, dt=5.24s)
itr: 7250 lr: 9.287e-05 train loss: 0.001834 train token_acc: 0.9997 train exact_match_acc: 0.9893 (K~32.00, min=32, max=32, dt=5.24s)
itr: 7500 lr: 9.235e-05 train loss: 0.001870 train token_acc: 0.9997 train exact_match_acc: 0.9897 (K~32.00, min=32, max=32, dt=5.24s)
itr: 7750 lr: 9.182e-05 train loss: 0.001205 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=5.24s)
itr: 8000 lr: 9.127e-05 train loss: 0.001137 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=5.24s)
itr: 8250 lr: 9.071e-05 train loss: 0.001145 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=5.24s)
itr: 8500 lr: 9.013e-05 train loss: 0.001250 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=5.24s)
itr: 8750 lr: 8.953e-05 train loss: 0.001061 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.24s)
