training:  19%|█▉        | 7747/40000 [02:41<11:09, 48.15it/s]
itr: 0 lr: 2.494e-07 train loss: 4.227535 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 3.795578 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.22s)
itr: 500 lr: 1.000e-04 train loss: 2.659770 train token_acc: 0.2166 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 750 lr: 9.998e-05 train loss: 1.936066 train token_acc: 0.3784 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1000 lr: 9.994e-05 train loss: 1.469344 train token_acc: 0.5503 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1250 lr: 9.989e-05 train loss: 1.124640 train token_acc: 0.7029 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1500 lr: 9.981e-05 train loss: 0.840562 train token_acc: 0.8470 train exact_match_acc: 0.0022 (K~32.00, min=32, max=32, dt=5.19s)
itr: 1750 lr: 9.972e-05 train loss: 0.611238 train token_acc: 0.9219 train exact_match_acc: 0.0569 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2000 lr: 9.960e-05 train loss: 0.421958 train token_acc: 0.9548 train exact_match_acc: 0.1863 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2250 lr: 9.947e-05 train loss: 0.279407 train token_acc: 0.9729 train exact_match_acc: 0.3735 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2500 lr: 9.931e-05 train loss: 0.183765 train token_acc: 0.9817 train exact_match_acc: 0.5256 (K~32.00, min=32, max=32, dt=5.19s)
itr: 2750 lr: 9.914e-05 train loss: 0.124559 train token_acc: 0.9865 train exact_match_acc: 0.6169 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3000 lr: 9.895e-05 train loss: 0.090898 train token_acc: 0.9892 train exact_match_acc: 0.6841 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3250 lr: 9.874e-05 train loss: 0.069792 train token_acc: 0.9911 train exact_match_acc: 0.7380 (K~32.00, min=32, max=32, dt=5.19s)
itr: 3500 lr: 9.851e-05 train loss: 0.054897 train token_acc: 0.9926 train exact_match_acc: 0.7788 (K~32.00, min=32, max=32, dt=5.19s)
