training:  19%|█▉        | 7747/40000 [02:40<11:08, 48.28it/s]
itr: 0 lr: 2.494e-07 train loss: 4.843707 train token_acc: 0.0122 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.113091 train token_acc: 0.0115 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.21s)
itr: 500 lr: 1.000e-04 train loss: 2.674957 train token_acc: 0.2338 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.18s)
itr: 750 lr: 9.998e-05 train loss: 1.706037 train token_acc: 0.4797 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.18s)
itr: 1000 lr: 9.994e-05 train loss: 1.110505 train token_acc: 0.6560 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.18s)
itr: 1250 lr: 9.989e-05 train loss: 0.693613 train token_acc: 0.8101 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=5.18s)
itr: 1500 lr: 9.981e-05 train loss: 0.431520 train token_acc: 0.8998 train exact_match_acc: 0.0271 (K~32.00, min=32, max=32, dt=5.18s)
itr: 1750 lr: 9.972e-05 train loss: 0.271676 train token_acc: 0.9436 train exact_match_acc: 0.1497 (K~32.00, min=32, max=32, dt=5.18s)
itr: 2000 lr: 9.960e-05 train loss: 0.182779 train token_acc: 0.9638 train exact_match_acc: 0.3044 (K~32.00, min=32, max=32, dt=5.18s)
itr: 2250 lr: 9.947e-05 train loss: 0.128135 train token_acc: 0.9752 train exact_match_acc: 0.4404 (K~32.00, min=32, max=32, dt=5.18s)
itr: 2500 lr: 9.931e-05 train loss: 0.094822 train token_acc: 0.9820 train exact_match_acc: 0.5557 (K~32.00, min=32, max=32, dt=5.18s)
itr: 2750 lr: 9.914e-05 train loss: 0.073259 train token_acc: 0.9857 train exact_match_acc: 0.6311 (K~32.00, min=32, max=32, dt=5.18s)
itr: 3000 lr: 9.895e-05 train loss: 0.054489 train token_acc: 0.9901 train exact_match_acc: 0.7280 (K~32.00, min=32, max=32, dt=5.18s)
itr: 3250 lr: 9.874e-05 train loss: 0.044046 train token_acc: 0.9920 train exact_match_acc: 0.7751 (K~32.00, min=32, max=32, dt=5.18s)
itr: 3500 lr: 9.851e-05 train loss: 0.036563 train token_acc: 0.9932 train exact_match_acc: 0.8064 (K~32.00, min=32, max=32, dt=5.18s)
itr: 3750 lr: 9.826e-05 train loss: 0.031681 train token_acc: 0.9938 train exact_match_acc: 0.8203 (K~32.00, min=32, max=32, dt=5.18s)
itr: 4000 lr: 9.799e-05 train loss: 0.026061 train token_acc: 0.9951 train exact_match_acc: 0.8560 (K~32.00, min=32, max=32, dt=5.18s)
itr: 4250 lr: 9.771e-05 train loss: 0.022594 train token_acc: 0.9958 train exact_match_acc: 0.8779 (K~32.00, min=32, max=32, dt=5.18s)
