training:  19%|█▉        | 7750/40000 [01:41<07:01, 76.54it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182868 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.162051 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.31s)
itr: 500 lr: 1.000e-04 train loss: 4.105457 train token_acc: 0.0967 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 750 lr: 9.998e-05 train loss: 3.971869 train token_acc: 0.0336 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.530940 train token_acc: 0.0934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1250 lr: 9.989e-05 train loss: 2.718149 train token_acc: 0.1414 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.147514 train token_acc: 0.2445 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1750 lr: 9.972e-05 train loss: 1.936283 train token_acc: 0.2950 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2000 lr: 9.960e-05 train loss: 1.856661 train token_acc: 0.3074 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2250 lr: 9.947e-05 train loss: 1.824921 train token_acc: 0.3279 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2500 lr: 9.931e-05 train loss: 1.808175 train token_acc: 0.3291 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2750 lr: 9.914e-05 train loss: 1.788792 train token_acc: 0.3376 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.780001 train token_acc: 0.3355 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.766655 train token_acc: 0.3447 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.756819 train token_acc: 0.3456 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.753490 train token_acc: 0.3517 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4000 lr: 9.799e-05 train loss: 1.745021 train token_acc: 0.3555 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4250 lr: 9.771e-05 train loss: 1.736222 train token_acc: 0.3552 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.731115 train token_acc: 0.3615 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.724719 train token_acc: 0.3493 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.713664 train token_acc: 0.3562 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5250 lr: 9.638e-05 train loss: 1.701133 train token_acc: 0.3695 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.694667 train token_acc: 0.3718 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
