training:  19%|█▉        | 7750/40000 [01:41<07:02, 76.36it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182218 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.160719 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.32s)
itr: 500 lr: 1.000e-04 train loss: 4.104905 train token_acc: 0.1030 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 750 lr: 9.998e-05 train loss: 3.959711 train token_acc: 0.0411 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1000 lr: 9.994e-05 train loss: 3.311627 train token_acc: 0.1124 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1250 lr: 9.989e-05 train loss: 2.590470 train token_acc: 0.1797 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1500 lr: 9.981e-05 train loss: 2.117367 train token_acc: 0.2775 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1750 lr: 9.972e-05 train loss: 1.924311 train token_acc: 0.3155 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2000 lr: 9.960e-05 train loss: 1.857995 train token_acc: 0.3347 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2250 lr: 9.947e-05 train loss: 1.817194 train token_acc: 0.3458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2500 lr: 9.931e-05 train loss: 1.807205 train token_acc: 0.3363 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2750 lr: 9.914e-05 train loss: 1.789682 train token_acc: 0.3535 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3000 lr: 9.895e-05 train loss: 1.775166 train token_acc: 0.3433 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3250 lr: 9.874e-05 train loss: 1.769652 train token_acc: 0.3516 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3500 lr: 9.851e-05 train loss: 1.751879 train token_acc: 0.3607 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3750 lr: 9.826e-05 train loss: 1.761894 train token_acc: 0.3416 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 4000 lr: 9.799e-05 train loss: 1.742790 train token_acc: 0.3574 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 4250 lr: 9.771e-05 train loss: 1.737623 train token_acc: 0.3557 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 4500 lr: 9.740e-05 train loss: 1.727540 train token_acc: 0.3621 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 4750 lr: 9.708e-05 train loss: 1.726245 train token_acc: 0.3613 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 5000 lr: 9.674e-05 train loss: 1.731131 train token_acc: 0.3453 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 5250 lr: 9.638e-05 train loss: 1.713621 train token_acc: 0.3689 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 5500 lr: 9.600e-05 train loss: 1.713097 train token_acc: 0.3787 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 5750 lr: 9.561e-05 train loss: 1.701433 train token_acc: 0.3687 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 6000 lr: 9.519e-05 train loss: 1.699520 train token_acc: 0.3772 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 6250 lr: 9.476e-05 train loss: 1.687687 train token_acc: 0.3762 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 6500 lr: 9.432e-05 train loss: 1.696078 train token_acc: 0.3883 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 6750 lr: 9.385e-05 train loss: 1.676831 train token_acc: 0.3851 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 7000 lr: 9.337e-05 train loss: 1.672946 train token_acc: 0.3888 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 7250 lr: 9.287e-05 train loss: 1.663338 train token_acc: 0.3787 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 7500 lr: 9.235e-05 train loss: 1.658960 train token_acc: 0.3816 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 7750 lr: 9.182e-05 train loss: 1.657031 train token_acc: 0.3879 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 8000 lr: 9.127e-05 train loss: 1.661546 train token_acc: 0.3718 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 8250 lr: 9.071e-05 train loss: 1.650010 train token_acc: 0.3986 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 8500 lr: 9.013e-05 train loss: 1.641703 train token_acc: 0.3867 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 8750 lr: 8.953e-05 train loss: 1.639503 train token_acc: 0.4031 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 9000 lr: 8.892e-05 train loss: 1.623502 train token_acc: 0.3978 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 9250 lr: 8.829e-05 train loss: 1.631210 train token_acc: 0.3835 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 9500 lr: 8.765e-05 train loss: 1.632316 train token_acc: 0.3825 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 9750 lr: 8.700e-05 train loss: 1.607583 train token_acc: 0.4088 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 10000 lr: 8.632e-05 train loss: 1.608117 train token_acc: 0.4159 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 10250 lr: 8.564e-05 train loss: 1.600539 train token_acc: 0.4125 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 10500 lr: 8.494e-05 train loss: 1.597281 train token_acc: 0.4238 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 10750 lr: 8.423e-05 train loss: 1.593984 train token_acc: 0.4248 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
