training:  19%|█▉        | 7746/40000 [02:12<09:12, 58.39it/s]
itr: 0 lr: 2.494e-07 train loss: 4.203049 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 3.995361 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.32s)
itr: 500 lr: 1.000e-04 train loss: 2.434741 train token_acc: 0.2786 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 750 lr: 9.998e-05 train loss: 1.423279 train token_acc: 0.4956 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 1000 lr: 9.994e-05 train loss: 1.251699 train token_acc: 0.5307 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 1250 lr: 9.989e-05 train loss: 1.036583 train token_acc: 0.6052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.29s)
itr: 1500 lr: 9.981e-05 train loss: 0.816355 train token_acc: 0.6883 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 1750 lr: 9.972e-05 train loss: 0.620710 train token_acc: 0.7684 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 2000 lr: 9.960e-05 train loss: 0.466695 train token_acc: 0.8365 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.28s)
itr: 2250 lr: 9.947e-05 train loss: 0.360878 train token_acc: 0.8762 train exact_match_acc: 0.0012 (K~32.00, min=32, max=32, dt=4.29s)
itr: 2500 lr: 9.931e-05 train loss: 0.275790 train token_acc: 0.9075 train exact_match_acc: 0.0061 (K~32.00, min=32, max=32, dt=4.28s)
itr: 2750 lr: 9.914e-05 train loss: 0.213484 train token_acc: 0.9294 train exact_match_acc: 0.0273 (K~32.00, min=32, max=32, dt=4.28s)
itr: 3000 lr: 9.895e-05 train loss: 0.158329 train token_acc: 0.9479 train exact_match_acc: 0.0784 (K~32.00, min=32, max=32, dt=4.28s)
itr: 3250 lr: 9.874e-05 train loss: 0.117911 train token_acc: 0.9633 train exact_match_acc: 0.1890 (K~32.00, min=32, max=32, dt=4.29s)
itr: 3500 lr: 9.851e-05 train loss: 0.081029 train token_acc: 0.9766 train exact_match_acc: 0.3865 (K~32.00, min=32, max=32, dt=4.28s)
itr: 3750 lr: 9.826e-05 train loss: 0.053270 train token_acc: 0.9860 train exact_match_acc: 0.6082 (K~32.00, min=32, max=32, dt=4.28s)
itr: 4000 lr: 9.799e-05 train loss: 0.031960 train token_acc: 0.9939 train exact_match_acc: 0.8201 (K~32.00, min=32, max=32, dt=4.28s)
itr: 4250 lr: 9.771e-05 train loss: 0.020618 train token_acc: 0.9960 train exact_match_acc: 0.8789 (K~32.00, min=32, max=32, dt=4.29s)
itr: 4500 lr: 9.740e-05 train loss: 0.012526 train token_acc: 0.9974 train exact_match_acc: 0.9192 (K~32.00, min=32, max=32, dt=4.28s)
itr: 4750 lr: 9.708e-05 train loss: 0.010462 train token_acc: 0.9979 train exact_match_acc: 0.9341 (K~32.00, min=32, max=32, dt=4.28s)
itr: 5000 lr: 9.674e-05 train loss: 0.008059 train token_acc: 0.9983 train exact_match_acc: 0.9458 (K~32.00, min=32, max=32, dt=4.28s)
itr: 5250 lr: 9.638e-05 train loss: 0.007005 train token_acc: 0.9985 train exact_match_acc: 0.9539 (K~32.00, min=32, max=32, dt=4.28s)
itr: 5500 lr: 9.600e-05 train loss: 0.006256 train token_acc: 0.9988 train exact_match_acc: 0.9607 (K~32.00, min=32, max=32, dt=4.28s)
itr: 5750 lr: 9.561e-05 train loss: 0.004404 train token_acc: 0.9989 train exact_match_acc: 0.9661 (K~32.00, min=32, max=32, dt=4.28s)
itr: 6000 lr: 9.519e-05 train loss: 0.003283 train token_acc: 0.9992 train exact_match_acc: 0.9734 (K~32.00, min=32, max=32, dt=4.28s)
itr: 6250 lr: 9.476e-05 train loss: 0.003279 train token_acc: 0.9994 train exact_match_acc: 0.9817 (K~32.00, min=32, max=32, dt=4.28s)
itr: 6500 lr: 9.432e-05 train loss: 0.002651 train token_acc: 0.9992 train exact_match_acc: 0.9756 (K~32.00, min=32, max=32, dt=4.28s)
itr: 6750 lr: 9.385e-05 train loss: 0.002123 train token_acc: 0.9994 train exact_match_acc: 0.9810 (K~32.00, min=32, max=32, dt=4.28s)
itr: 7000 lr: 9.337e-05 train loss: 0.002155 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=4.28s)
itr: 7250 lr: 9.287e-05 train loss: 0.001735 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=4.29s)
itr: 7500 lr: 9.235e-05 train loss: 0.001963 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=4.28s)
itr: 7750 lr: 9.182e-05 train loss: 0.001926 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=4.28s)
itr: 8000 lr: 9.127e-05 train loss: 0.001035 train token_acc: 0.9997 train exact_match_acc: 0.9910 (K~32.00, min=32, max=32, dt=4.28s)
