training:  19%|█▉        | 7750/40000 [01:41<07:02, 76.27it/s]
itr: 0 lr: 2.494e-07 train loss: 4.217319 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.168573 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.31s)
itr: 500 lr: 1.000e-04 train loss: 4.005567 train token_acc: 0.0143 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 750 lr: 9.998e-05 train loss: 3.624669 train token_acc: 0.0125 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1000 lr: 9.994e-05 train loss: 2.885108 train token_acc: 0.0261 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1250 lr: 9.989e-05 train loss: 2.322326 train token_acc: 0.0659 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1500 lr: 9.981e-05 train loss: 1.919694 train token_acc: 0.1962 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 1750 lr: 9.972e-05 train loss: 1.747600 train token_acc: 0.3179 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2000 lr: 9.960e-05 train loss: 1.653159 train token_acc: 0.3686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2250 lr: 9.947e-05 train loss: 1.599285 train token_acc: 0.3889 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2500 lr: 9.931e-05 train loss: 1.561067 train token_acc: 0.4080 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2750 lr: 9.914e-05 train loss: 1.519712 train token_acc: 0.4206 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3000 lr: 9.895e-05 train loss: 1.482616 train token_acc: 0.4359 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3250 lr: 9.874e-05 train loss: 1.445855 train token_acc: 0.4482 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3500 lr: 9.851e-05 train loss: 1.409020 train token_acc: 0.4649 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 3750 lr: 9.826e-05 train loss: 1.380901 train token_acc: 0.4778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
