training:  19%|█▉        | 7750/40000 [01:41<07:02, 76.41it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182051 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.162529 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.31s)
itr: 500 lr: 1.000e-04 train loss: 4.104142 train token_acc: 0.0828 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 750 lr: 9.998e-05 train loss: 3.937810 train token_acc: 0.0928 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.207025 train token_acc: 0.0934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1250 lr: 9.989e-05 train loss: 2.481815 train token_acc: 0.1735 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1500 lr: 9.981e-05 train loss: 2.059806 train token_acc: 0.2848 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1750 lr: 9.972e-05 train loss: 1.927794 train token_acc: 0.3138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2000 lr: 9.960e-05 train loss: 1.864413 train token_acc: 0.3219 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 2250 lr: 9.947e-05 train loss: 1.822250 train token_acc: 0.3296 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2500 lr: 9.931e-05 train loss: 1.797748 train token_acc: 0.3383 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2750 lr: 9.914e-05 train loss: 1.783430 train token_acc: 0.3378 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.770637 train token_acc: 0.3410 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.758273 train token_acc: 0.3433 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.752187 train token_acc: 0.3487 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.747656 train token_acc: 0.3457 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4000 lr: 9.799e-05 train loss: 1.739382 train token_acc: 0.3528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4250 lr: 9.771e-05 train loss: 1.733029 train token_acc: 0.3624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.720589 train token_acc: 0.3658 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.710104 train token_acc: 0.3626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.702005 train token_acc: 0.3680 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5250 lr: 9.638e-05 train loss: 1.698469 train token_acc: 0.3663 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.694626 train token_acc: 0.3809 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5750 lr: 9.561e-05 train loss: 1.677612 train token_acc: 0.3755 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.673480 train token_acc: 0.3744 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6250 lr: 9.476e-05 train loss: 1.665316 train token_acc: 0.3825 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.657112 train token_acc: 0.3858 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6750 lr: 9.385e-05 train loss: 1.645832 train token_acc: 0.3967 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.638578 train token_acc: 0.3926 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.625767 train token_acc: 0.3964 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.28s)
itr: 7500 lr: 9.235e-05 train loss: 1.616613 train token_acc: 0.4049 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.614587 train token_acc: 0.4139 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.618483 train token_acc: 0.4147 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.596729 train token_acc: 0.4133 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.590093 train token_acc: 0.4117 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.586424 train token_acc: 0.4232 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.583591 train token_acc: 0.4295 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9250 lr: 8.829e-05 train loss: 1.581039 train token_acc: 0.4301 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.573609 train token_acc: 0.4276 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9750 lr: 8.700e-05 train loss: 1.568789 train token_acc: 0.4362 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.563237 train token_acc: 0.4359 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10250 lr: 8.564e-05 train loss: 1.562664 train token_acc: 0.4422 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10500 lr: 8.494e-05 train loss: 1.551492 train token_acc: 0.4379 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10750 lr: 8.423e-05 train loss: 1.547659 train token_acc: 0.4436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11000 lr: 8.351e-05 train loss: 1.546400 train token_acc: 0.4419 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11250 lr: 8.277e-05 train loss: 1.544885 train token_acc: 0.4494 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11500 lr: 8.202e-05 train loss: 1.535457 train token_acc: 0.4543 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11750 lr: 8.125e-05 train loss: 1.537082 train token_acc: 0.4529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12000 lr: 8.048e-05 train loss: 1.527645 train token_acc: 0.4515 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12250 lr: 7.969e-05 train loss: 1.519430 train token_acc: 0.4526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12500 lr: 7.889e-05 train loss: 1.516278 train token_acc: 0.4528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12750 lr: 7.808e-05 train loss: 1.511485 train token_acc: 0.4591 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 13000 lr: 7.726e-05 train loss: 1.507121 train token_acc: 0.4642 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 13250 lr: 7.643e-05 train loss: 1.497878 train token_acc: 0.4650 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 13500 lr: 7.559e-05 train loss: 1.493183 train token_acc: 0.4686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 13750 lr: 7.474e-05 train loss: 1.490282 train token_acc: 0.4714 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 14000 lr: 7.388e-05 train loss: 1.480607 train token_acc: 0.4710 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 14250 lr: 7.301e-05 train loss: 1.473264 train token_acc: 0.4729 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 14500 lr: 7.213e-05 train loss: 1.471346 train token_acc: 0.4755 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 14750 lr: 7.124e-05 train loss: 1.469964 train token_acc: 0.4744 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 15000 lr: 7.035e-05 train loss: 1.462735 train token_acc: 0.4782 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 15250 lr: 6.944e-05 train loss: 1.462519 train token_acc: 0.4799 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 15500 lr: 6.853e-05 train loss: 1.455368 train token_acc: 0.4763 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 15750 lr: 6.761e-05 train loss: 1.451450 train token_acc: 0.4792 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 16000 lr: 6.669e-05 train loss: 1.449091 train token_acc: 0.4835 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 16250 lr: 6.576e-05 train loss: 1.448265 train token_acc: 0.4855 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 16500 lr: 6.482e-05 train loss: 1.441687 train token_acc: 0.4875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 16750 lr: 6.388e-05 train loss: 1.445200 train token_acc: 0.4860 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 17000 lr: 6.293e-05 train loss: 1.440946 train token_acc: 0.4885 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
