training:  19%|█▉        | 7750/40000 [01:41<07:01, 76.53it/s]
itr: 0 lr: 2.494e-07 train loss: 4.193846 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.41s)
itr: 250 lr: 6.259e-05 train loss: 4.143891 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.29s)
itr: 500 lr: 1.000e-04 train loss: 3.971593 train token_acc: 0.0139 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 750 lr: 9.998e-05 train loss: 3.545254 train token_acc: 0.0146 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1000 lr: 9.994e-05 train loss: 2.816646 train token_acc: 0.0266 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1250 lr: 9.989e-05 train loss: 2.281893 train token_acc: 0.0604 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1500 lr: 9.981e-05 train loss: 1.956535 train token_acc: 0.1554 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1750 lr: 9.972e-05 train loss: 1.804662 train token_acc: 0.2623 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2000 lr: 9.960e-05 train loss: 1.720016 train token_acc: 0.3359 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2250 lr: 9.947e-05 train loss: 1.661012 train token_acc: 0.3610 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2500 lr: 9.931e-05 train loss: 1.624414 train token_acc: 0.3795 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2750 lr: 9.914e-05 train loss: 1.595596 train token_acc: 0.3878 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.565384 train token_acc: 0.4073 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.542583 train token_acc: 0.4179 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.518309 train token_acc: 0.4248 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.496174 train token_acc: 0.4383 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4000 lr: 9.799e-05 train loss: 1.478301 train token_acc: 0.4471 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4250 lr: 9.771e-05 train loss: 1.460529 train token_acc: 0.4546 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.442707 train token_acc: 0.4584 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.425466 train token_acc: 0.4730 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.406266 train token_acc: 0.4840 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5250 lr: 9.638e-05 train loss: 1.393273 train token_acc: 0.4849 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.372332 train token_acc: 0.4934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5750 lr: 9.561e-05 train loss: 1.354469 train token_acc: 0.5023 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.335795 train token_acc: 0.5056 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6250 lr: 9.476e-05 train loss: 1.320859 train token_acc: 0.5138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.309999 train token_acc: 0.5198 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6750 lr: 9.385e-05 train loss: 1.293841 train token_acc: 0.5228 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.279857 train token_acc: 0.5294 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.260448 train token_acc: 0.5373 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.248316 train token_acc: 0.5404 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.232246 train token_acc: 0.5513 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.220297 train token_acc: 0.5563 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.205297 train token_acc: 0.5624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.198372 train token_acc: 0.5662 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.177679 train token_acc: 0.5745 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.165282 train token_acc: 0.5820 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9250 lr: 8.829e-05 train loss: 1.156818 train token_acc: 0.5845 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.145781 train token_acc: 0.5855 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 9750 lr: 8.700e-05 train loss: 1.136695 train token_acc: 0.5919 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.120239 train token_acc: 0.5964 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10250 lr: 8.564e-05 train loss: 1.109042 train token_acc: 0.6003 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10500 lr: 8.494e-05 train loss: 1.101490 train token_acc: 0.6017 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 10750 lr: 8.423e-05 train loss: 1.097315 train token_acc: 0.6051 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11000 lr: 8.351e-05 train loss: 1.088357 train token_acc: 0.6069 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11250 lr: 8.277e-05 train loss: 1.075316 train token_acc: 0.6115 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11500 lr: 8.202e-05 train loss: 1.069757 train token_acc: 0.6134 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 11750 lr: 8.125e-05 train loss: 1.057044 train token_acc: 0.6176 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12000 lr: 8.048e-05 train loss: 1.049056 train token_acc: 0.6197 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12250 lr: 7.969e-05 train loss: 1.042987 train token_acc: 0.6217 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12500 lr: 7.889e-05 train loss: 1.033285 train token_acc: 0.6279 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 12750 lr: 7.808e-05 train loss: 1.021644 train token_acc: 0.6328 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
