training:  19%|█▉        | 7750/40000 [01:41<07:01, 76.51it/s]
itr: 0 lr: 2.494e-07 train loss: 4.216895 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.168812 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.31s)
itr: 500 lr: 1.000e-04 train loss: 4.003478 train token_acc: 0.0145 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 750 lr: 9.998e-05 train loss: 3.615695 train token_acc: 0.0140 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1000 lr: 9.994e-05 train loss: 2.771016 train token_acc: 0.0214 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1250 lr: 9.989e-05 train loss: 2.197311 train token_acc: 0.0467 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1500 lr: 9.981e-05 train loss: 1.966245 train token_acc: 0.1148 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 1750 lr: 9.972e-05 train loss: 1.875903 train token_acc: 0.1903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2000 lr: 9.960e-05 train loss: 1.829991 train token_acc: 0.2573 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2250 lr: 9.947e-05 train loss: 1.793610 train token_acc: 0.3049 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2500 lr: 9.931e-05 train loss: 1.764516 train token_acc: 0.3380 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 2750 lr: 9.914e-05 train loss: 1.744452 train token_acc: 0.3586 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.717090 train token_acc: 0.3752 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.702740 train token_acc: 0.3760 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.678372 train token_acc: 0.3898 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.663285 train token_acc: 0.3975 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4000 lr: 9.799e-05 train loss: 1.653196 train token_acc: 0.3877 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4250 lr: 9.771e-05 train loss: 1.638862 train token_acc: 0.3961 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.624452 train token_acc: 0.3961 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.611075 train token_acc: 0.4065 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.602444 train token_acc: 0.3973 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5250 lr: 9.638e-05 train loss: 1.591046 train token_acc: 0.4043 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.581581 train token_acc: 0.4083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 5750 lr: 9.561e-05 train loss: 1.569553 train token_acc: 0.4175 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.561528 train token_acc: 0.4131 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6250 lr: 9.476e-05 train loss: 1.554428 train token_acc: 0.4093 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.544271 train token_acc: 0.4218 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 6750 lr: 9.385e-05 train loss: 1.529108 train token_acc: 0.4229 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.514799 train token_acc: 0.4385 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.501544 train token_acc: 0.4450 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.489312 train token_acc: 0.4476 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.475799 train token_acc: 0.4527 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.463411 train token_acc: 0.4553 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.449699 train token_acc: 0.4651 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.451024 train token_acc: 0.4577 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.430714 train token_acc: 0.4699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
