training:  19%|█▉        | 7750/40000 [02:00<08:20, 64.44it/s]
itr: 0 lr: 2.494e-07 train loss: 4.242082 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 3.833654 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.92s)
itr: 500 lr: 1.000e-04 train loss: 2.751609 train token_acc: 0.1373 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 750 lr: 9.998e-05 train loss: 2.056728 train token_acc: 0.2929 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1000 lr: 9.994e-05 train loss: 1.721767 train token_acc: 0.3047 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1250 lr: 9.989e-05 train loss: 1.520928 train token_acc: 0.4758 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1500 lr: 9.981e-05 train loss: 1.360233 train token_acc: 0.6109 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 1750 lr: 9.972e-05 train loss: 1.263220 train token_acc: 0.6392 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2000 lr: 9.960e-05 train loss: 1.206157 train token_acc: 0.6486 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2250 lr: 9.947e-05 train loss: 1.167807 train token_acc: 0.6580 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2500 lr: 9.931e-05 train loss: 1.141438 train token_acc: 0.6583 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2750 lr: 9.914e-05 train loss: 1.117813 train token_acc: 0.6559 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3000 lr: 9.895e-05 train loss: 1.097041 train token_acc: 0.6562 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3250 lr: 9.874e-05 train loss: 1.084329 train token_acc: 0.6560 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3500 lr: 9.851e-05 train loss: 1.069796 train token_acc: 0.6568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
