training:  19%|█▉        | 7750/40000 [02:00<08:20, 64.41it/s]
itr: 0 lr: 2.494e-07 train loss: 5.954476 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.528851 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.91s)
itr: 500 lr: 1.000e-04 train loss: 3.126080 train token_acc: 0.2262 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 750 lr: 9.998e-05 train loss: 2.051527 train token_acc: 0.4368 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1000 lr: 9.994e-05 train loss: 1.542340 train token_acc: 0.5099 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1250 lr: 9.989e-05 train loss: 1.285111 train token_acc: 0.5514 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1500 lr: 9.981e-05 train loss: 1.142614 train token_acc: 0.5756 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 1750 lr: 9.972e-05 train loss: 1.069798 train token_acc: 0.5787 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2000 lr: 9.960e-05 train loss: 1.030630 train token_acc: 0.5871 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2250 lr: 9.947e-05 train loss: 1.012780 train token_acc: 0.5886 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2500 lr: 9.931e-05 train loss: 1.000521 train token_acc: 0.5915 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2750 lr: 9.914e-05 train loss: 0.984148 train token_acc: 0.5903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3000 lr: 9.895e-05 train loss: 0.975370 train token_acc: 0.5927 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
