training:  19%|█▉        | 7750/40000 [02:00<08:20, 64.39it/s]
itr: 0 lr: 2.494e-07 train loss: 4.235681 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 3.827037 train token_acc: 0.0063 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.92s)
itr: 500 lr: 1.000e-04 train loss: 2.724736 train token_acc: 0.1686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 750 lr: 9.998e-05 train loss: 2.047760 train token_acc: 0.2986 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 1000 lr: 9.994e-05 train loss: 1.719648 train token_acc: 0.3146 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 1250 lr: 9.989e-05 train loss: 1.508942 train token_acc: 0.5001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1500 lr: 9.981e-05 train loss: 1.335175 train token_acc: 0.6184 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1750 lr: 9.972e-05 train loss: 1.241097 train token_acc: 0.6565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 2000 lr: 9.960e-05 train loss: 1.189849 train token_acc: 0.6568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 2250 lr: 9.947e-05 train loss: 1.149970 train token_acc: 0.6687 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 2500 lr: 9.931e-05 train loss: 1.119746 train token_acc: 0.6702 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 2750 lr: 9.914e-05 train loss: 1.094571 train token_acc: 0.6793 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
