training:  19%|█▉        | 7749/40000 [02:00<08:20, 64.43it/s]
itr: 0 lr: 2.494e-07 train loss: 4.235045 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 3.798674 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.92s)
itr: 500 lr: 1.000e-04 train loss: 2.764834 train token_acc: 0.1421 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 750 lr: 9.998e-05 train loss: 2.095413 train token_acc: 0.2897 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1000 lr: 9.994e-05 train loss: 1.751044 train token_acc: 0.3302 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1250 lr: 9.989e-05 train loss: 1.540512 train token_acc: 0.4624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1500 lr: 9.981e-05 train loss: 1.370581 train token_acc: 0.5917 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1750 lr: 9.972e-05 train loss: 1.267984 train token_acc: 0.6471 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2000 lr: 9.960e-05 train loss: 1.199222 train token_acc: 0.6742 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2250 lr: 9.947e-05 train loss: 1.148643 train token_acc: 0.6848 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2500 lr: 9.931e-05 train loss: 1.113145 train token_acc: 0.6870 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2750 lr: 9.914e-05 train loss: 1.085865 train token_acc: 0.6872 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3000 lr: 9.895e-05 train loss: 1.055232 train token_acc: 0.6954 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3250 lr: 9.874e-05 train loss: 1.035583 train token_acc: 0.6977 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3500 lr: 9.851e-05 train loss: 1.018265 train token_acc: 0.6961 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3750 lr: 9.826e-05 train loss: 1.005613 train token_acc: 0.6962 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4000 lr: 9.799e-05 train loss: 0.993408 train token_acc: 0.6985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4250 lr: 9.771e-05 train loss: 0.983057 train token_acc: 0.6997 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4500 lr: 9.740e-05 train loss: 0.971905 train token_acc: 0.6970 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4750 lr: 9.708e-05 train loss: 0.958434 train token_acc: 0.6999 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5000 lr: 9.674e-05 train loss: 0.948980 train token_acc: 0.7001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5250 lr: 9.638e-05 train loss: 0.941819 train token_acc: 0.7007 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5500 lr: 9.600e-05 train loss: 0.933627 train token_acc: 0.7027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5750 lr: 9.561e-05 train loss: 0.922996 train token_acc: 0.7031 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 6000 lr: 9.519e-05 train loss: 0.919098 train token_acc: 0.7024 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 6250 lr: 9.476e-05 train loss: 0.911375 train token_acc: 0.7020 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 6500 lr: 9.432e-05 train loss: 0.908185 train token_acc: 0.7055 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 6750 lr: 9.385e-05 train loss: 0.900008 train token_acc: 0.7030 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 7000 lr: 9.337e-05 train loss: 0.894289 train token_acc: 0.7044 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 7250 lr: 9.287e-05 train loss: 0.890660 train token_acc: 0.7033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 7500 lr: 9.235e-05 train loss: 0.887125 train token_acc: 0.7038 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 7750 lr: 9.182e-05 train loss: 0.883057 train token_acc: 0.7045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
