training:  19%|█▉        | 7750/40000 [02:00<08:20, 64.42it/s]
itr: 0 lr: 2.494e-07 train loss: 5.593182 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.35s)
itr: 250 lr: 6.259e-05 train loss: 4.407870 train token_acc: 0.0015 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.91s)
itr: 500 lr: 1.000e-04 train loss: 2.965228 train token_acc: 0.2027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 750 lr: 9.998e-05 train loss: 1.984207 train token_acc: 0.3940 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1000 lr: 9.994e-05 train loss: 1.441450 train token_acc: 0.5432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1250 lr: 9.989e-05 train loss: 1.059514 train token_acc: 0.6455 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1500 lr: 9.981e-05 train loss: 0.786151 train token_acc: 0.7350 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 1750 lr: 9.972e-05 train loss: 0.619376 train token_acc: 0.7715 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.89s)
itr: 2000 lr: 9.960e-05 train loss: 0.420732 train token_acc: 0.8463 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2250 lr: 9.947e-05 train loss: 0.341890 train token_acc: 0.8649 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2500 lr: 9.931e-05 train loss: 0.293229 train token_acc: 0.8744 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.88s)
itr: 2750 lr: 9.914e-05 train loss: 0.279944 train token_acc: 0.8750 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3000 lr: 9.895e-05 train loss: 0.268758 train token_acc: 0.8756 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3250 lr: 9.874e-05 train loss: 0.247759 train token_acc: 0.8839 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3500 lr: 9.851e-05 train loss: 0.240706 train token_acc: 0.8840 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.88s)
itr: 3750 lr: 9.826e-05 train loss: 0.237690 train token_acc: 0.8843 train exact_match_acc: 0.0020 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4000 lr: 9.799e-05 train loss: 0.235588 train token_acc: 0.8849 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4250 lr: 9.771e-05 train loss: 0.228369 train token_acc: 0.8927 train exact_match_acc: 0.0020 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4500 lr: 9.740e-05 train loss: 0.221629 train token_acc: 0.8927 train exact_match_acc: 0.0010 (K~32.00, min=32, max=32, dt=3.88s)
itr: 4750 lr: 9.708e-05 train loss: 0.210240 train token_acc: 0.8922 train exact_match_acc: 0.0022 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5000 lr: 9.674e-05 train loss: 0.208453 train token_acc: 0.8934 train exact_match_acc: 0.0017 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5250 lr: 9.638e-05 train loss: 0.201308 train token_acc: 0.8954 train exact_match_acc: 0.0029 (K~32.00, min=32, max=32, dt=3.88s)
itr: 5500 lr: 9.600e-05 train loss: 0.186081 train token_acc: 0.9013 train exact_match_acc: 0.0029 (K~32.00, min=32, max=32, dt=3.88s)
