training:  19%|█▉        | 7745/40000 [01:20<05:35, 96.02it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.182484 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.161760 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 4.111529 train token_acc: 0.0713 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 3.975760 train token_acc: 0.0900 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 3.655684 train token_acc: 0.0981 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 2.939587 train token_acc: 0.1380 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 2.340290 train token_acc: 0.2178 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1750 lr: 9.972e-05 train loss: 2.002710 train token_acc: 0.2792 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 2000 lr: 9.960e-05 train loss: 1.877131 train token_acc: 0.3011 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2250 lr: 9.947e-05 train loss: 1.830892 train token_acc: 0.3170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 1.799913 train token_acc: 0.3316 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2750 lr: 9.914e-05 train loss: 1.763863 train token_acc: 0.3439 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 1.749837 train token_acc: 0.3505 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 3250 lr: 9.874e-05 train loss: 1.733826 train token_acc: 0.3540 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 3500 lr: 9.851e-05 train loss: 1.719143 train token_acc: 0.3645 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
