training:  19%|█▉        | 7745/40000 [01:20<05:35, 96.16it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.182511 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.161739 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 4.108481 train token_acc: 0.0455 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 750 lr: 9.998e-05 train loss: 3.950323 train token_acc: 0.0721 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1000 lr: 9.994e-05 train loss: 3.519897 train token_acc: 0.1089 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1250 lr: 9.989e-05 train loss: 2.890476 train token_acc: 0.1190 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1500 lr: 9.981e-05 train loss: 2.327616 train token_acc: 0.2154 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1750 lr: 9.972e-05 train loss: 2.000546 train token_acc: 0.2685 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2000 lr: 9.960e-05 train loss: 1.886608 train token_acc: 0.2944 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2250 lr: 9.947e-05 train loss: 1.832651 train token_acc: 0.3160 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2500 lr: 9.931e-05 train loss: 1.792926 train token_acc: 0.3313 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2750 lr: 9.914e-05 train loss: 1.773604 train token_acc: 0.3406 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3000 lr: 9.895e-05 train loss: 1.752516 train token_acc: 0.3445 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3250 lr: 9.874e-05 train loss: 1.748024 train token_acc: 0.3528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3500 lr: 9.851e-05 train loss: 1.727582 train token_acc: 0.3579 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3750 lr: 9.826e-05 train loss: 1.720375 train token_acc: 0.3632 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4000 lr: 9.799e-05 train loss: 1.707954 train token_acc: 0.3737 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4250 lr: 9.771e-05 train loss: 1.694538 train token_acc: 0.3824 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4500 lr: 9.740e-05 train loss: 1.682962 train token_acc: 0.3859 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
