training:  19%|█▉        | 7745/40000 [01:20<05:35, 96.26it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.234303 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.189879 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 4.045392 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 750 lr: 9.998e-05 train loss: 3.795485 train token_acc: 0.0156 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1000 lr: 9.994e-05 train loss: 3.270121 train token_acc: 0.0234 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1250 lr: 9.989e-05 train loss: 2.646409 train token_acc: 0.0418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1500 lr: 9.981e-05 train loss: 2.233058 train token_acc: 0.0492 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1750 lr: 9.972e-05 train loss: 1.989367 train token_acc: 0.1422 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2000 lr: 9.960e-05 train loss: 1.861743 train token_acc: 0.2583 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2250 lr: 9.947e-05 train loss: 1.773203 train token_acc: 0.3220 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2500 lr: 9.931e-05 train loss: 1.721829 train token_acc: 0.3610 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2750 lr: 9.914e-05 train loss: 1.690802 train token_acc: 0.3848 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3000 lr: 9.895e-05 train loss: 1.660368 train token_acc: 0.3982 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3250 lr: 9.874e-05 train loss: 1.632702 train token_acc: 0.4064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3500 lr: 9.851e-05 train loss: 1.599857 train token_acc: 0.4236 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3750 lr: 9.826e-05 train loss: 1.564071 train token_acc: 0.4385 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4000 lr: 9.799e-05 train loss: 1.529108 train token_acc: 0.4466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4250 lr: 9.771e-05 train loss: 1.499434 train token_acc: 0.4612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4500 lr: 9.740e-05 train loss: 1.469674 train token_acc: 0.4696 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
