training:  19%|█▉        | 7745/40000 [01:21<05:35, 96.14it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.212832 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.53s)
itr: 250 lr: 6.259e-05 train loss: 4.166846 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.65s)
itr: 500 lr: 1.000e-04 train loss: 4.015429 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 750 lr: 9.998e-05 train loss: 3.739457 train token_acc: 0.0152 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1000 lr: 9.994e-05 train loss: 3.162096 train token_acc: 0.0169 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1250 lr: 9.989e-05 train loss: 2.580869 train token_acc: 0.0263 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1500 lr: 9.981e-05 train loss: 2.200538 train token_acc: 0.0565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1750 lr: 9.972e-05 train loss: 1.982418 train token_acc: 0.1714 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2000 lr: 9.960e-05 train loss: 1.846219 train token_acc: 0.2760 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2250 lr: 9.947e-05 train loss: 1.769986 train token_acc: 0.3299 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 1.722570 train token_acc: 0.3628 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2750 lr: 9.914e-05 train loss: 1.682609 train token_acc: 0.3803 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3000 lr: 9.895e-05 train loss: 1.649464 train token_acc: 0.3960 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3250 lr: 9.874e-05 train loss: 1.626072 train token_acc: 0.4067 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3500 lr: 9.851e-05 train loss: 1.602931 train token_acc: 0.4165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3750 lr: 9.826e-05 train loss: 1.587268 train token_acc: 0.4214 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4000 lr: 9.799e-05 train loss: 1.568467 train token_acc: 0.4309 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4250 lr: 9.771e-05 train loss: 1.546004 train token_acc: 0.4375 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4500 lr: 9.740e-05 train loss: 1.533516 train token_acc: 0.4389 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4750 lr: 9.708e-05 train loss: 1.517332 train token_acc: 0.4456 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5000 lr: 9.674e-05 train loss: 1.510015 train token_acc: 0.4494 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5250 lr: 9.638e-05 train loss: 1.501250 train token_acc: 0.4528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5500 lr: 9.600e-05 train loss: 1.486097 train token_acc: 0.4568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5750 lr: 9.561e-05 train loss: 1.478064 train token_acc: 0.4622 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6000 lr: 9.519e-05 train loss: 1.473016 train token_acc: 0.4672 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6250 lr: 9.476e-05 train loss: 1.457549 train token_acc: 0.4679 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6500 lr: 9.432e-05 train loss: 1.447764 train token_acc: 0.4717 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6750 lr: 9.385e-05 train loss: 1.434904 train token_acc: 0.4780 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7000 lr: 9.337e-05 train loss: 1.421759 train token_acc: 0.4839 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7250 lr: 9.287e-05 train loss: 1.409794 train token_acc: 0.4872 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7500 lr: 9.235e-05 train loss: 1.396861 train token_acc: 0.4938 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7750 lr: 9.182e-05 train loss: 1.381688 train token_acc: 0.4952 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8000 lr: 9.127e-05 train loss: 1.377542 train token_acc: 0.4984 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8250 lr: 9.071e-05 train loss: 1.369050 train token_acc: 0.5046 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8500 lr: 9.013e-05 train loss: 1.360521 train token_acc: 0.5054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8750 lr: 8.953e-05 train loss: 1.350541 train token_acc: 0.5109 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9000 lr: 8.892e-05 train loss: 1.335795 train token_acc: 0.5181 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9250 lr: 8.829e-05 train loss: 1.323886 train token_acc: 0.5223 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9500 lr: 8.765e-05 train loss: 1.312919 train token_acc: 0.5256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9750 lr: 8.700e-05 train loss: 1.301385 train token_acc: 0.5296 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10000 lr: 8.632e-05 train loss: 1.295845 train token_acc: 0.5327 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10250 lr: 8.564e-05 train loss: 1.287745 train token_acc: 0.5372 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10500 lr: 8.494e-05 train loss: 1.282414 train token_acc: 0.5403 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10750 lr: 8.423e-05 train loss: 1.272563 train token_acc: 0.5428 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11000 lr: 8.351e-05 train loss: 1.265587 train token_acc: 0.5412 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11250 lr: 8.277e-05 train loss: 1.262836 train token_acc: 0.5454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11500 lr: 8.202e-05 train loss: 1.257040 train token_acc: 0.5442 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 11750 lr: 8.125e-05 train loss: 1.257787 train token_acc: 0.5458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12000 lr: 8.048e-05 train loss: 1.250297 train token_acc: 0.5449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12250 lr: 7.969e-05 train loss: 1.246245 train token_acc: 0.5501 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12500 lr: 7.889e-05 train loss: 1.241031 train token_acc: 0.5553 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12750 lr: 7.808e-05 train loss: 1.235456 train token_acc: 0.5562 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 13000 lr: 7.726e-05 train loss: 1.231112 train token_acc: 0.5610 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 13250 lr: 7.643e-05 train loss: 1.229485 train token_acc: 0.5620 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 13500 lr: 7.559e-05 train loss: 1.227978 train token_acc: 0.5627 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 13750 lr: 7.474e-05 train loss: 1.226772 train token_acc: 0.5622 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 14000 lr: 7.388e-05 train loss: 1.222462 train token_acc: 0.5604 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 14250 lr: 7.301e-05 train loss: 1.220778 train token_acc: 0.5650 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 14500 lr: 7.213e-05 train loss: 1.212785 train token_acc: 0.5644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 14750 lr: 7.124e-05 train loss: 1.210837 train token_acc: 0.5653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 15000 lr: 7.035e-05 train loss: 1.207153 train token_acc: 0.5663 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 15250 lr: 6.944e-05 train loss: 1.204012 train token_acc: 0.5684 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 15500 lr: 6.853e-05 train loss: 1.198921 train token_acc: 0.5699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 15750 lr: 6.761e-05 train loss: 1.195845 train token_acc: 0.5684 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 16000 lr: 6.669e-05 train loss: 1.190627 train token_acc: 0.5708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 16250 lr: 6.576e-05 train loss: 1.183575 train token_acc: 0.5723 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 16500 lr: 6.482e-05 train loss: 1.183890 train token_acc: 0.5736 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 16750 lr: 6.388e-05 train loss: 1.175342 train token_acc: 0.5783 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 17000 lr: 6.293e-05 train loss: 1.173295 train token_acc: 0.5768 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 17250 lr: 6.198e-05 train loss: 1.166555 train token_acc: 0.5789 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 17500 lr: 6.102e-05 train loss: 1.163835 train token_acc: 0.5832 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 17750 lr: 6.006e-05 train loss: 1.159605 train token_acc: 0.5814 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 18000 lr: 5.910e-05 train loss: 1.154834 train token_acc: 0.5828 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 18250 lr: 5.813e-05 train loss: 1.151460 train token_acc: 0.5857 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 18500 lr: 5.716e-05 train loss: 1.147680 train token_acc: 0.5876 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 18750 lr: 5.618e-05 train loss: 1.142480 train token_acc: 0.5900 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 19000 lr: 5.521e-05 train loss: 1.137187 train token_acc: 0.5913 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 19250 lr: 5.423e-05 train loss: 1.132691 train token_acc: 0.5922 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 19500 lr: 5.325e-05 train loss: 1.128603 train token_acc: 0.5901 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 19750 lr: 5.227e-05 train loss: 1.128015 train token_acc: 0.5912 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 20000 lr: 5.129e-05 train loss: 1.125165 train token_acc: 0.5897 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
saved checkpoint: ./grid_outputs/len_gen_v64_e64_k32/task_0006/saved_models/Checkpoint_N64_d64_H1_L1_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 1.117934 train token_acc: 0.5933 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 20500 lr: 4.932e-05 train loss: 1.122334 train token_acc: 0.5946 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 20750 lr: 4.834e-05 train loss: 1.116269 train token_acc: 0.5985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 21000 lr: 4.736e-05 train loss: 1.111694 train token_acc: 0.6006 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 21250 lr: 4.638e-05 train loss: 1.112715 train token_acc: 0.6018 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 21500 lr: 4.540e-05 train loss: 1.107777 train token_acc: 0.6016 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 21750 lr: 4.443e-05 train loss: 1.106967 train token_acc: 0.6012 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 22000 lr: 4.346e-05 train loss: 1.103916 train token_acc: 0.6032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 22250 lr: 4.249e-05 train loss: 1.104169 train token_acc: 0.6019 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
