training:  19%|█▉        | 7745/40000 [01:20<05:35, 96.03it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.183068 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.160659 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 4.111013 train token_acc: 0.0453 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 750 lr: 9.998e-05 train loss: 3.979283 train token_acc: 0.0633 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1000 lr: 9.994e-05 train loss: 3.680269 train token_acc: 0.0840 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1250 lr: 9.989e-05 train loss: 2.982687 train token_acc: 0.1630 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1500 lr: 9.981e-05 train loss: 2.381609 train token_acc: 0.2194 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 1750 lr: 9.972e-05 train loss: 2.028672 train token_acc: 0.2696 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2000 lr: 9.960e-05 train loss: 1.889289 train token_acc: 0.2959 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2250 lr: 9.947e-05 train loss: 1.828882 train token_acc: 0.3208 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 1.791491 train token_acc: 0.3361 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2750 lr: 9.914e-05 train loss: 1.768406 train token_acc: 0.3454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 1.750027 train token_acc: 0.3510 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3250 lr: 9.874e-05 train loss: 1.734962 train token_acc: 0.3568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 3500 lr: 9.851e-05 train loss: 1.721202 train token_acc: 0.3626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 3750 lr: 9.826e-05 train loss: 1.709499 train token_acc: 0.3708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 4000 lr: 9.799e-05 train loss: 1.699188 train token_acc: 0.3762 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4250 lr: 9.771e-05 train loss: 1.685607 train token_acc: 0.3859 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 4500 lr: 9.740e-05 train loss: 1.672117 train token_acc: 0.3947 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 4750 lr: 9.708e-05 train loss: 1.662575 train token_acc: 0.3999 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5000 lr: 9.674e-05 train loss: 1.652654 train token_acc: 0.4057 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5250 lr: 9.638e-05 train loss: 1.650462 train token_acc: 0.4072 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 5500 lr: 9.600e-05 train loss: 1.639130 train token_acc: 0.4142 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 5750 lr: 9.561e-05 train loss: 1.629652 train token_acc: 0.4170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 6000 lr: 9.519e-05 train loss: 1.622646 train token_acc: 0.4218 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6250 lr: 9.476e-05 train loss: 1.617676 train token_acc: 0.4250 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6500 lr: 9.432e-05 train loss: 1.614287 train token_acc: 0.4276 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 6750 lr: 9.385e-05 train loss: 1.604118 train token_acc: 0.4310 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7000 lr: 9.337e-05 train loss: 1.600985 train token_acc: 0.4321 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7250 lr: 9.287e-05 train loss: 1.593508 train token_acc: 0.4353 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7500 lr: 9.235e-05 train loss: 1.585033 train token_acc: 0.4388 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 7750 lr: 9.182e-05 train loss: 1.584629 train token_acc: 0.4408 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8000 lr: 9.127e-05 train loss: 1.580862 train token_acc: 0.4399 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8250 lr: 9.071e-05 train loss: 1.575570 train token_acc: 0.4444 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 8500 lr: 9.013e-05 train loss: 1.570739 train token_acc: 0.4418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 8750 lr: 8.953e-05 train loss: 1.566517 train token_acc: 0.4444 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9000 lr: 8.892e-05 train loss: 1.564502 train token_acc: 0.4465 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9250 lr: 8.829e-05 train loss: 1.563236 train token_acc: 0.4463 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9500 lr: 8.765e-05 train loss: 1.557913 train token_acc: 0.4476 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 9750 lr: 8.700e-05 train loss: 1.554591 train token_acc: 0.4475 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10000 lr: 8.632e-05 train loss: 1.552116 train token_acc: 0.4493 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10250 lr: 8.564e-05 train loss: 1.550226 train token_acc: 0.4508 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 10500 lr: 8.494e-05 train loss: 1.547407 train token_acc: 0.4524 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 10750 lr: 8.423e-05 train loss: 1.544047 train token_acc: 0.4528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11000 lr: 8.351e-05 train loss: 1.546266 train token_acc: 0.4525 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11250 lr: 8.277e-05 train loss: 1.543736 train token_acc: 0.4552 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11500 lr: 8.202e-05 train loss: 1.539116 train token_acc: 0.4535 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 11750 lr: 8.125e-05 train loss: 1.538631 train token_acc: 0.4526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12000 lr: 8.048e-05 train loss: 1.540435 train token_acc: 0.4522 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12250 lr: 7.969e-05 train loss: 1.535489 train token_acc: 0.4521 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12500 lr: 7.889e-05 train loss: 1.537161 train token_acc: 0.4559 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 12750 lr: 7.808e-05 train loss: 1.535689 train token_acc: 0.4541 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
