training:  19%|█▉        | 7745/40000 [01:21<05:34, 96.44it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.212126 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.51s)
itr: 250 lr: 6.259e-05 train loss: 4.166666 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.62s)
itr: 500 lr: 1.000e-04 train loss: 4.016513 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 750 lr: 9.998e-05 train loss: 3.724303 train token_acc: 0.0012 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 1000 lr: 9.994e-05 train loss: 3.155546 train token_acc: 0.0097 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 1250 lr: 9.989e-05 train loss: 2.606889 train token_acc: 0.0173 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 1500 lr: 9.981e-05 train loss: 2.201535 train token_acc: 0.0470 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 1750 lr: 9.972e-05 train loss: 1.957843 train token_acc: 0.1416 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 2000 lr: 9.960e-05 train loss: 1.836788 train token_acc: 0.2536 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 2250 lr: 9.947e-05 train loss: 1.770743 train token_acc: 0.3247 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 2500 lr: 9.931e-05 train loss: 1.733559 train token_acc: 0.3593 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 2750 lr: 9.914e-05 train loss: 1.708275 train token_acc: 0.3790 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 3000 lr: 9.895e-05 train loss: 1.676814 train token_acc: 0.3940 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 3250 lr: 9.874e-05 train loss: 1.665040 train token_acc: 0.4027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 3500 lr: 9.851e-05 train loss: 1.644238 train token_acc: 0.4114 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 3750 lr: 9.826e-05 train loss: 1.632014 train token_acc: 0.4189 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 4000 lr: 9.799e-05 train loss: 1.617819 train token_acc: 0.4200 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 4250 lr: 9.771e-05 train loss: 1.599814 train token_acc: 0.4270 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 4500 lr: 9.740e-05 train loss: 1.580633 train token_acc: 0.4330 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 4750 lr: 9.708e-05 train loss: 1.560146 train token_acc: 0.4356 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 5000 lr: 9.674e-05 train loss: 1.542250 train token_acc: 0.4389 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 5250 lr: 9.638e-05 train loss: 1.519604 train token_acc: 0.4526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 5500 lr: 9.600e-05 train loss: 1.491025 train token_acc: 0.4651 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 5750 lr: 9.561e-05 train loss: 1.462403 train token_acc: 0.4785 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 6000 lr: 9.519e-05 train loss: 1.434520 train token_acc: 0.4865 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 6250 lr: 9.476e-05 train loss: 1.406605 train token_acc: 0.4984 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 6500 lr: 9.432e-05 train loss: 1.382766 train token_acc: 0.5092 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 6750 lr: 9.385e-05 train loss: 1.363536 train token_acc: 0.5158 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 7000 lr: 9.337e-05 train loss: 1.343768 train token_acc: 0.5245 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 7250 lr: 9.287e-05 train loss: 1.327240 train token_acc: 0.5294 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 7500 lr: 9.235e-05 train loss: 1.315834 train token_acc: 0.5358 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 7750 lr: 9.182e-05 train loss: 1.302029 train token_acc: 0.5413 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 8000 lr: 9.127e-05 train loss: 1.288823 train token_acc: 0.5438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 8250 lr: 9.071e-05 train loss: 1.280233 train token_acc: 0.5502 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 8500 lr: 9.013e-05 train loss: 1.269726 train token_acc: 0.5533 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 8750 lr: 8.953e-05 train loss: 1.260911 train token_acc: 0.5555 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 9000 lr: 8.892e-05 train loss: 1.247714 train token_acc: 0.5571 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 9250 lr: 8.829e-05 train loss: 1.238528 train token_acc: 0.5602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 9500 lr: 8.765e-05 train loss: 1.232158 train token_acc: 0.5638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 9750 lr: 8.700e-05 train loss: 1.221059 train token_acc: 0.5684 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 10000 lr: 8.632e-05 train loss: 1.206865 train token_acc: 0.5746 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 10250 lr: 8.564e-05 train loss: 1.197713 train token_acc: 0.5770 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 10500 lr: 8.494e-05 train loss: 1.191863 train token_acc: 0.5787 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
itr: 10750 lr: 8.423e-05 train loss: 1.186545 train token_acc: 0.5847 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.59s)
