variant,n_layers,use_mlp,id_2_50_mean,id_2_50_std,mid_51_100_mean,mid_51_100_std,long_101_150_mean,long_101_150_std,train_em_mean,train_em_std,n_seeds
LN_fixed50,1,0,0.7286,0.0035,,,,,0.9997,0.0002,3
LN_fixed50,1,1,0.7565,0.0049,,,,,0.9996,0.0003,3
LN_fixed50,2,0,0.6330,0.0289,,,,,0.9942,0.0036,3
LN_fixed50,2,1,0.8276,0.0138,,,,,1.0000,0.0000,3
noLN_elemGate,1,0,0.3133,0.2738,,,,,0.3398,0.3246,3
noLN_elemGate,1,1,0.8745,0.0020,,,,,0.9119,0.0203,3
noLN_elemGate,2,0,0.6665,0.4713,,,,,0.6664,0.4712,3
noLN_elemGate,2,1,0.9999,0.0001,,,,,0.9998,0.0001,3
noLN_rmsQkNorm,1,0,0.9988,0.0006,,,,,0.9989,0.0001,3
noLN_rmsQkNorm,1,1,0.9997,0.0003,,,,,0.9994,0.0002,3
noLN_rmsQkNorm,2,0,0.9980,0.0013,,,,,0.9983,0.0016,3
noLN_rmsQkNorm,2,1,1.0000,0.0000,,,,,1.0000,0.0000,3
