n_layers,use_mlp,use_layernorm,length_mode,training,min_k_at_0.95
1,False,False,curriculum,dynamic,
1,False,False,fixed,fixed,
1,False,False,mix,dynamic,
1,False,True,curriculum,dynamic,6
1,False,True,fixed,fixed,4
1,False,True,mix,dynamic,6
1,True,False,curriculum,dynamic,
1,True,False,fixed,fixed,
1,True,False,mix,dynamic,
1,True,True,curriculum,dynamic,8
1,True,True,fixed,fixed,6
1,True,True,mix,dynamic,6
2,False,False,curriculum,dynamic,
2,False,False,fixed,fixed,
2,False,False,mix,dynamic,
2,False,True,curriculum,dynamic,8
2,False,True,fixed,fixed,8
2,False,True,mix,dynamic,10
2,True,False,curriculum,dynamic,
2,True,False,fixed,fixed,
2,True,False,mix,dynamic,
2,True,True,curriculum,dynamic,12
2,True,True,fixed,fixed,10
2,True,True,mix,dynamic,8
