gap,offset,curve,curve_label,mean_pct,std_pct,n_seeds
1,2,firstlayer,ATTN1 direct circuit hijack,46.1145,36.9275,23
1,3,firstlayer,ATTN1 direct circuit hijack,49.4992,34.4908,23
1,4,firstlayer,ATTN1 direct circuit hijack,53.3952,32.1386,23
1,5,firstlayer,ATTN1 direct circuit hijack,57.1173,30.2308,23
1,6,firstlayer,ATTN1 direct circuit hijack,59.8817,28.2799,23
1,7,firstlayer,ATTN1 direct circuit hijack,61.5516,26.6275,23
1,8,firstlayer,ATTN1 direct circuit hijack,63.0115,24.1702,23
1,9,firstlayer,ATTN1 direct circuit hijack,63.0904,22.0346,23
1,10,firstlayer,ATTN1 direct circuit hijack,62.4726,20.2647,23
1,11,firstlayer,ATTN1 direct circuit hijack,61.7689,18.6346,23
1,12,firstlayer,ATTN1 direct circuit hijack,60.496,17.5808,23
1,13,firstlayer,ATTN1 direct circuit hijack,58.207,17.4271,23
1,14,firstlayer,ATTN1 direct circuit hijack,56.781,17.049,23
1,15,firstlayer,ATTN1 direct circuit hijack,53.4344,16.7714,23
1,16,firstlayer,ATTN1 direct circuit hijack,51.7928,16.5593,23
1,17,firstlayer,ATTN1 direct circuit hijack,49.5247,16.2698,23
1,18,firstlayer,ATTN1 direct circuit hijack,47.7015,16.5799,23
1,19,firstlayer,ATTN1 direct circuit hijack,45.739,16.0492,23
1,20,firstlayer,ATTN1 direct circuit hijack,43.5327,16.7085,23
1,2,attn2,ATTN2 hijack,71.9925,41.2451,23
1,3,attn2,ATTN2 hijack,67.0541,39.1834,23
1,4,attn2,ATTN2 hijack,59.7343,36.2965,23
1,5,attn2,ATTN2 hijack,52.0697,32.7827,23
1,6,attn2,ATTN2 hijack,44.6443,29.5371,23
1,7,attn2,ATTN2 hijack,37.1594,25.6662,23
1,8,attn2,ATTN2 hijack,30.6728,22.7243,23
1,9,attn2,ATTN2 hijack,25.1346,19.9691,23
1,10,attn2,ATTN2 hijack,21.9619,18.4139,23
1,11,attn2,ATTN2 hijack,20.4769,18.1525,23
1,12,attn2,ATTN2 hijack,20.018,18.0924,23
1,13,attn2,ATTN2 hijack,19.453,17.657,23
1,14,attn2,ATTN2 hijack,19.2618,17.0615,23
1,15,attn2,ATTN2 hijack,18.8271,16.4813,23
1,16,attn2,ATTN2 hijack,18.9623,16.464,23
1,17,attn2,ATTN2 hijack,18.1527,15.9684,23
1,18,attn2,ATTN2 hijack,18.1375,15.7556,23
1,19,attn2,ATTN2 hijack,17.8807,15.9233,23
1,20,attn2,ATTN2 hijack,17.5523,15.8423,23
1,2,and_fl,ATTN1 direct+ATTN2 individually succeed,20.7868,21.4998,23
1,3,and_fl,ATTN1 direct+ATTN2 individually succeed,23.4822,20.6003,23
1,4,and_fl,ATTN1 direct+ATTN2 individually succeed,25.8572,19.7993,23
1,5,and_fl,ATTN1 direct+ATTN2 individually succeed,27.4941,19.3801,23
1,6,and_fl,ATTN1 direct+ATTN2 individually succeed,27.97,18.7457,23
1,7,and_fl,ATTN1 direct+ATTN2 individually succeed,27.75,18.1903,23
1,8,and_fl,ATTN1 direct+ATTN2 individually succeed,25.5222,16.6754,23
1,9,and_fl,ATTN1 direct+ATTN2 individually succeed,21.7081,14.2787,23
1,10,and_fl,ATTN1 direct+ATTN2 individually succeed,19.141,12.6127,23
1,11,and_fl,ATTN1 direct+ATTN2 individually succeed,17.7925,11.6743,23
1,12,and_fl,ATTN1 direct+ATTN2 individually succeed,17.2898,11.3387,23
1,13,and_fl,ATTN1 direct+ATTN2 individually succeed,16.5281,10.7718,23
1,14,and_fl,ATTN1 direct+ATTN2 individually succeed,16.6576,10.9147,23
1,15,and_fl,ATTN1 direct+ATTN2 individually succeed,16.152,10.4812,23
1,16,and_fl,ATTN1 direct+ATTN2 individually succeed,16.2898,10.4339,23
1,17,and_fl,ATTN1 direct+ATTN2 individually succeed,15.8154,10.3372,23
1,18,and_fl,ATTN1 direct+ATTN2 individually succeed,15.6805,10.1365,23
1,19,and_fl,ATTN1 direct+ATTN2 individually succeed,15.528,10.1941,23
1,20,and_fl,ATTN1 direct+ATTN2 individually succeed,15.0371,9.8026,23
5,6,firstlayer,ATTN1 direct circuit hijack,24.7713,34.0349,23
5,7,firstlayer,ATTN1 direct circuit hijack,21.4189,29.7937,23
5,8,firstlayer,ATTN1 direct circuit hijack,17.6601,24.173,23
5,9,firstlayer,ATTN1 direct circuit hijack,15.6253,20.0482,23
5,10,firstlayer,ATTN1 direct circuit hijack,14.1573,16.7603,23
5,11,firstlayer,ATTN1 direct circuit hijack,13.5909,14.1916,23
5,12,firstlayer,ATTN1 direct circuit hijack,14.3273,13.109,23
5,13,firstlayer,ATTN1 direct circuit hijack,15.2939,12.0063,23
5,14,firstlayer,ATTN1 direct circuit hijack,17.1482,11.2833,23
5,15,firstlayer,ATTN1 direct circuit hijack,18.3608,11.5025,23
5,16,firstlayer,ATTN1 direct circuit hijack,18.8646,10.4023,23
5,17,firstlayer,ATTN1 direct circuit hijack,19.2533,10.8974,23
5,18,firstlayer,ATTN1 direct circuit hijack,19.5002,10.7699,23
5,19,firstlayer,ATTN1 direct circuit hijack,19.0171,9.9325,23
5,20,firstlayer,ATTN1 direct circuit hijack,19.0842,9.2861,23
5,21,firstlayer,ATTN1 direct circuit hijack,18.3068,8.5465,23
5,22,firstlayer,ATTN1 direct circuit hijack,18.6337,8.2705,23
5,23,firstlayer,ATTN1 direct circuit hijack,17.8112,8.108,23
5,24,firstlayer,ATTN1 direct circuit hijack,17.6026,7.5978,23
5,25,firstlayer,ATTN1 direct circuit hijack,17.4216,7.1344,23
5,26,firstlayer,ATTN1 direct circuit hijack,16.0777,6.9396,23
5,27,firstlayer,ATTN1 direct circuit hijack,15.8714,6.0446,23
5,28,firstlayer,ATTN1 direct circuit hijack,14.9576,5.6567,23
5,29,firstlayer,ATTN1 direct circuit hijack,13.949,4.9001,23
5,30,firstlayer,ATTN1 direct circuit hijack,13.9818,4.4764,23
5,6,attn2,ATTN2 hijack,84.3253,27.289,23
5,7,attn2,ATTN2 hijack,81.095,28.0254,23
5,8,attn2,ATTN2 hijack,76.7601,28.0684,23
5,9,attn2,ATTN2 hijack,70.7802,27.3073,23
5,10,attn2,ATTN2 hijack,63.3717,25.7909,23
5,11,attn2,ATTN2 hijack,55.9982,23.9914,23
5,12,attn2,ATTN2 hijack,49.1704,22.1327,23
5,13,attn2,ATTN2 hijack,43.4884,21.0994,23
5,14,attn2,ATTN2 hijack,40.8547,20.6875,23
5,15,attn2,ATTN2 hijack,39.0422,20.0718,23
5,16,attn2,ATTN2 hijack,37.9791,19.8464,23
5,17,attn2,ATTN2 hijack,37.0406,19.516,23
5,18,attn2,ATTN2 hijack,35.7428,18.8272,23
5,19,attn2,ATTN2 hijack,34.2843,18.1997,23
5,20,attn2,ATTN2 hijack,33.4413,17.9139,23
5,21,attn2,ATTN2 hijack,32.4208,17.8618,23
5,22,attn2,ATTN2 hijack,31.3966,17.817,23
5,23,attn2,ATTN2 hijack,30.7808,17.9612,23
5,24,attn2,ATTN2 hijack,30.2303,17.8663,23
5,25,attn2,ATTN2 hijack,29.549,18.4804,23
5,26,attn2,ATTN2 hijack,29.8733,18.5358,23
5,27,attn2,ATTN2 hijack,29.9593,19.0304,23
5,28,attn2,ATTN2 hijack,29.6492,19.0289,23
5,29,attn2,ATTN2 hijack,29.5686,18.9815,23
5,30,attn2,ATTN2 hijack,29.8079,19.2164,23
5,6,and_fl,ATTN1 direct+ATTN2 individually succeed,14.5108,20.0082,23
5,7,and_fl,ATTN1 direct+ATTN2 individually succeed,12.5026,17.3372,23
5,8,and_fl,ATTN1 direct+ATTN2 individually succeed,10.5316,13.9764,23
5,9,and_fl,ATTN1 direct+ATTN2 individually succeed,9.5741,11.5658,23
5,10,and_fl,ATTN1 direct+ATTN2 individually succeed,8.9444,9.6247,23
5,11,and_fl,ATTN1 direct+ATTN2 individually succeed,9.2191,8.6885,23
5,12,and_fl,ATTN1 direct+ATTN2 individually succeed,9.7437,7.3077,23
5,13,and_fl,ATTN1 direct+ATTN2 individually succeed,10.4413,6.5023,23
5,14,and_fl,ATTN1 direct+ATTN2 individually succeed,12.0801,6.5524,23
5,15,and_fl,ATTN1 direct+ATTN2 individually succeed,12.7098,6.2503,23
5,16,and_fl,ATTN1 direct+ATTN2 individually succeed,13.1838,5.6585,23
5,17,and_fl,ATTN1 direct+ATTN2 individually succeed,13.4471,6.0963,23
5,18,and_fl,ATTN1 direct+ATTN2 individually succeed,13.3821,6.317,23
5,19,and_fl,ATTN1 direct+ATTN2 individually succeed,13.2179,6.2316,23
5,20,and_fl,ATTN1 direct+ATTN2 individually succeed,13.2519,5.9428,23
5,21,and_fl,ATTN1 direct+ATTN2 individually succeed,12.8292,5.5738,23
5,22,and_fl,ATTN1 direct+ATTN2 individually succeed,13.4377,6.295,23
5,23,and_fl,ATTN1 direct+ATTN2 individually succeed,12.5705,5.4421,23
5,24,and_fl,ATTN1 direct+ATTN2 individually succeed,12.6042,5.8138,23
5,25,and_fl,ATTN1 direct+ATTN2 individually succeed,12.3176,5.1294,23
5,26,and_fl,ATTN1 direct+ATTN2 individually succeed,11.4249,5.4811,23
5,27,and_fl,ATTN1 direct+ATTN2 individually succeed,11.7157,5.5933,23
5,28,and_fl,ATTN1 direct+ATTN2 individually succeed,10.7569,4.7755,23
5,29,and_fl,ATTN1 direct+ATTN2 individually succeed,10.3022,4.6834,23
5,30,and_fl,ATTN1 direct+ATTN2 individually succeed,10.6018,4.9482,23
10,11,firstlayer,ATTN1 direct circuit hijack,4.4969,7.022,23
10,12,firstlayer,ATTN1 direct circuit hijack,2.6578,4.2203,23
10,13,firstlayer,ATTN1 direct circuit hijack,1.7229,2.9059,23
10,14,firstlayer,ATTN1 direct circuit hijack,1.4291,2.4745,23
10,15,firstlayer,ATTN1 direct circuit hijack,1.2918,2.0394,23
10,16,firstlayer,ATTN1 direct circuit hijack,1.2883,2.0386,23
10,17,firstlayer,ATTN1 direct circuit hijack,1.5199,2.4913,23
10,18,firstlayer,ATTN1 direct circuit hijack,1.6257,2.2656,23
10,19,firstlayer,ATTN1 direct circuit hijack,2.1017,2.6444,23
10,20,firstlayer,ATTN1 direct circuit hijack,2.3107,2.9594,23
10,21,firstlayer,ATTN1 direct circuit hijack,2.4451,2.7773,23
10,22,firstlayer,ATTN1 direct circuit hijack,2.6347,2.981,23
10,23,firstlayer,ATTN1 direct circuit hijack,2.8794,2.8541,23
10,24,firstlayer,ATTN1 direct circuit hijack,3.364,2.921,23
10,25,firstlayer,ATTN1 direct circuit hijack,3.2775,2.9187,23
10,26,firstlayer,ATTN1 direct circuit hijack,3.5124,2.7066,23
10,27,firstlayer,ATTN1 direct circuit hijack,3.6988,2.4036,23
10,28,firstlayer,ATTN1 direct circuit hijack,3.7368,2.702,23
10,29,firstlayer,ATTN1 direct circuit hijack,3.7219,2.8005,23
10,30,firstlayer,ATTN1 direct circuit hijack,3.5954,2.3025,23
10,31,firstlayer,ATTN1 direct circuit hijack,3.4277,2.2505,23
10,32,firstlayer,ATTN1 direct circuit hijack,3.9346,2.2097,23
10,33,firstlayer,ATTN1 direct circuit hijack,3.2742,1.8463,23
10,34,firstlayer,ATTN1 direct circuit hijack,3.4204,2.1576,23
10,35,firstlayer,ATTN1 direct circuit hijack,3.3483,2.0808,23
10,36,firstlayer,ATTN1 direct circuit hijack,3.0696,2.2062,23
10,37,firstlayer,ATTN1 direct circuit hijack,3.1328,2.233,23
10,38,firstlayer,ATTN1 direct circuit hijack,2.6194,1.9532,23
10,39,firstlayer,ATTN1 direct circuit hijack,2.5168,1.8258,23
10,40,firstlayer,ATTN1 direct circuit hijack,2.3805,1.5676,23
10,41,firstlayer,ATTN1 direct circuit hijack,2.4193,1.4379,23
10,42,firstlayer,ATTN1 direct circuit hijack,2.3151,1.6472,23
10,43,firstlayer,ATTN1 direct circuit hijack,2.3449,1.2721,23
10,44,firstlayer,ATTN1 direct circuit hijack,2.0645,0.9333,23
10,45,firstlayer,ATTN1 direct circuit hijack,2.241,1.2445,23
10,11,attn2,ATTN2 hijack,97.2892,4.167,23
10,12,attn2,ATTN2 hijack,96.8403,4.3233,23
10,13,attn2,ATTN2 hijack,95.4372,4.654,23
10,14,attn2,ATTN2 hijack,93.6133,5.4023,23
10,15,attn2,ATTN2 hijack,91.1713,6.0779,23
10,16,attn2,ATTN2 hijack,88.4331,6.6168,23
10,17,attn2,ATTN2 hijack,85.1416,7.2061,23
10,18,attn2,ATTN2 hijack,81.9118,7.7556,23
10,19,attn2,ATTN2 hijack,79.2618,8.3096,23
10,20,attn2,ATTN2 hijack,77.5664,8.7928,23
10,21,attn2,ATTN2 hijack,75.8004,9.1945,23
10,22,attn2,ATTN2 hijack,74.25,9.0452,23
10,23,attn2,ATTN2 hijack,72.6097,9.2533,23
10,24,attn2,ATTN2 hijack,70.917,9.15,23
10,25,attn2,ATTN2 hijack,69.4201,9.8571,23
10,26,attn2,ATTN2 hijack,68.4158,10.388,23
10,27,attn2,ATTN2 hijack,67.1406,11.0534,23
10,28,attn2,ATTN2 hijack,65.9629,11.3975,23
10,29,attn2,ATTN2 hijack,64.7218,11.6141,23
10,30,attn2,ATTN2 hijack,64.21,12.1352,23
10,31,attn2,ATTN2 hijack,63.6326,12.5317,23
10,32,attn2,ATTN2 hijack,62.807,13.0974,23
10,33,attn2,ATTN2 hijack,61.9703,13.6993,23
10,34,attn2,ATTN2 hijack,61.2824,13.9696,23
10,35,attn2,ATTN2 hijack,60.4312,13.6079,23
10,36,attn2,ATTN2 hijack,59.3915,14.2488,23
10,37,attn2,ATTN2 hijack,58.7036,14.5765,23
10,38,attn2,ATTN2 hijack,58.1024,14.8258,23
10,39,attn2,ATTN2 hijack,57.0358,14.8944,23
10,40,attn2,ATTN2 hijack,56.6605,14.5706,23
10,41,attn2,ATTN2 hijack,56.8077,14.6007,23
10,42,attn2,ATTN2 hijack,56.6263,14.7839,23
10,43,attn2,ATTN2 hijack,56.0686,14.6844,23
10,44,attn2,ATTN2 hijack,55.1628,14.7147,23
10,45,attn2,ATTN2 hijack,54.8055,14.8687,23
10,11,and_fl,ATTN1 direct+ATTN2 individually succeed,4.4969,7.022,23
10,12,and_fl,ATTN1 direct+ATTN2 individually succeed,2.6578,4.2203,23
10,13,and_fl,ATTN1 direct+ATTN2 individually succeed,1.7229,2.9059,23
10,14,and_fl,ATTN1 direct+ATTN2 individually succeed,1.4291,2.4745,23
10,15,and_fl,ATTN1 direct+ATTN2 individually succeed,1.2918,2.0394,23
10,16,and_fl,ATTN1 direct+ATTN2 individually succeed,1.2883,2.0386,23
10,17,and_fl,ATTN1 direct+ATTN2 individually succeed,1.5199,2.4913,23
10,18,and_fl,ATTN1 direct+ATTN2 individually succeed,1.6257,2.2656,23
10,19,and_fl,ATTN1 direct+ATTN2 individually succeed,2.1017,2.6444,23
10,20,and_fl,ATTN1 direct+ATTN2 individually succeed,2.3107,2.9594,23
10,21,and_fl,ATTN1 direct+ATTN2 individually succeed,2.4451,2.7773,23
10,22,and_fl,ATTN1 direct+ATTN2 individually succeed,2.6347,2.981,23
10,23,and_fl,ATTN1 direct+ATTN2 individually succeed,2.8794,2.8541,23
10,24,and_fl,ATTN1 direct+ATTN2 individually succeed,3.364,2.921,23
10,25,and_fl,ATTN1 direct+ATTN2 individually succeed,3.2775,2.9187,23
10,26,and_fl,ATTN1 direct+ATTN2 individually succeed,3.5124,2.7066,23
10,27,and_fl,ATTN1 direct+ATTN2 individually succeed,3.6988,2.4036,23
10,28,and_fl,ATTN1 direct+ATTN2 individually succeed,3.7368,2.702,23
10,29,and_fl,ATTN1 direct+ATTN2 individually succeed,3.7219,2.8005,23
10,30,and_fl,ATTN1 direct+ATTN2 individually succeed,3.5954,2.3025,23
10,31,and_fl,ATTN1 direct+ATTN2 individually succeed,3.4277,2.2505,23
10,32,and_fl,ATTN1 direct+ATTN2 individually succeed,3.9346,2.2097,23
10,33,and_fl,ATTN1 direct+ATTN2 individually succeed,3.2742,1.8463,23
