2026-01-04 01:11:39,560 INFO    MainThread:327365 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_setup.py:_flush():81] Configure stats pid to 327365
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_setup.py:_flush():81] Loading settings from /n/home13/chloe00/.config/wandb/settings
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_setup.py:_flush():81] Loading settings from /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/settings
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260104_011139-9uzwzd6c/logs/debug.log
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260104_011139-9uzwzd6c/logs/debug-internal.log
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_init.py:init():813] calling init triggers
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-04 01:11:39,561 INFO    MainThread:327365 [wandb_init.py:init():854] starting backend
2026-01-04 01:11:40,863 INFO    MainThread:327365 [wandb_init.py:init():857] sending inform_init request
2026-01-04 01:11:40,894 INFO    MainThread:327365 [wandb_init.py:init():865] backend started and connected
2026-01-04 01:11:40,895 INFO    MainThread:327365 [wandb_init.py:init():936] updated telemetry
2026-01-04 01:11:40,917 INFO    MainThread:327365 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2026-01-04 01:11:41,646 INFO    MainThread:327365 [wandb_init.py:init():1011] starting run threads in backend
2026-01-04 01:11:46,034 INFO    MainThread:327365 [wandb_run.py:_console_start():2506] atexit reg
2026-01-04 01:11:46,034 INFO    MainThread:327365 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-01-04 01:11:46,034 INFO    MainThread:327365 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-01-04 01:11:46,034 INFO    MainThread:327365 [wandb_run.py:_redirect():2446] Redirects installed.
2026-01-04 01:11:46,065 INFO    MainThread:327365 [wandb_init.py:init():1049] run started, returning control to user process
2026-01-04 05:09:33,496 INFO    wandb-AsyncioManager-main:327365 [service_client.py:_forward_responses():84] Reached EOF.
2026-01-04 05:09:33,531 INFO    wandb-AsyncioManager-main:327365 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
