2026-01-05 17:52:07,011 INFO    MainThread:1308863 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_setup.py:_flush():81] Configure stats pid to 1308863
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_setup.py:_flush():81] Loading settings from /n/home13/chloe00/.config/wandb/settings
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_setup.py:_flush():81] Loading settings from /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/settings
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260105_175207-fb2d58ow/logs/debug.log
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260105_175207-fb2d58ow/logs/debug-internal.log
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_init.py:init():813] calling init triggers
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-05 17:52:07,012 INFO    MainThread:1308863 [wandb_init.py:init():854] starting backend
2026-01-05 17:52:08,935 INFO    MainThread:1308863 [wandb_init.py:init():857] sending inform_init request
2026-01-05 17:52:08,967 INFO    MainThread:1308863 [wandb_init.py:init():865] backend started and connected
2026-01-05 17:52:08,968 INFO    MainThread:1308863 [wandb_init.py:init():936] updated telemetry
2026-01-05 17:52:09,034 INFO    MainThread:1308863 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2026-01-05 17:52:09,833 INFO    MainThread:1308863 [wandb_init.py:init():1011] starting run threads in backend
2026-01-05 17:52:14,413 INFO    MainThread:1308863 [wandb_run.py:_console_start():2506] atexit reg
2026-01-05 17:52:14,413 INFO    MainThread:1308863 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-01-05 17:52:14,413 INFO    MainThread:1308863 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-01-05 17:52:14,413 INFO    MainThread:1308863 [wandb_run.py:_redirect():2446] Redirects installed.
2026-01-05 17:52:14,446 INFO    MainThread:1308863 [wandb_init.py:init():1049] run started, returning control to user process
2026-01-05 21:45:03,156 INFO    wandb-AsyncioManager-main:1308863 [service_client.py:_forward_responses():84] Reached EOF.
2026-01-05 21:45:03,180 INFO    wandb-AsyncioManager-main:1308863 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
